number,debate_id,title,theist_moves,non_theist_moves,theist_tagged_moves,non_theist_tagged_moves,theist_insulation_moves,non_theist_insulation_moves
51,lennox-atkins-duelling-professors-2012,John Lennox vs Peter Atkins: Duelling Professors on Science and God,10,10,0,1,0,0
03,hitchens-dsouza-religion-problem-2010,Christopher Hitchens vs Dinesh D'Souza: Is Religion the Problem?,9,10,4,0,2,0
53,oconnor-dsouza-bible-true-2024,Alex O'Connor vs Dinesh D'Souza: Is the Bible True?,10,10,4,0,2,0
196,huemer-rasmussen-god-existence-2026,Michael Huemer vs Joshua Rasmussen: Does God Exist?,8,12,1,2,1,0
222,lennox-shermer-god-existence-2008,Does God Exist? John Lennox vs. Michael Shermer (2008),22,19,8,2,4,0
17,collins-oconnor-god-existence-2024,Francis Collins vs Alex O'Connor: Does God Exist?,10,10,2,0,2,0
200,craig-stenger-god-existence-2010,William Lane Craig vs Victor Stenger: Does God Exist?,20,22,1,1,1,0
02,craig-hitchens-god-existence-2009,William Lane Craig vs Christopher Hitchens: Does God Exist?,9,12,2,0,1,0
218,mcgrath-oconnor-new-atheism-failure-2023,Has New Atheism Failed? Alister McGrath vs. Alex O'Connor (2023),13,15,5,1,3,0
27,oconnor-turek-evil-moral-argument-2017,Alex O'Connor vs Frank Turek: The Moral Argument Debate,10,9,6,4,1,1
100,jones-dillahunty-emergent-mind-god-2020,Michael Jones vs Matt Dillahunty: Reason to Believe in God?,10,9,1,0,0,0
28,turek-shermer-reality-theism-atheism-2018,Frank Turek vs Michael Shermer: What Best Explains Reality?,12,12,2,0,1,0
219,shermer-mcgrath-god-imagination-2017,Is God a Figment of Our Imagination? Michael Shermer vs. Alister McGrath (2017),13,18,3,0,2,0
212,craig-carrier-resurrection-2009,Resurrection Evidence and Naturalistic Alternatives: William Lane Craig vs. Richard Carrier (2009),12,10,3,4,0,4
14,jones-carrier-god-existence-2025,Michael Jones vs Richard Carrier: Does God Exist?,9,9,0,2,0,0
89,bignon-oppy-religious-experience-god-2022,Guillaume Bignon vs Graham Oppy: Religious Experience and the Case for God,9,8,1,0,0,0
197,mcgilchrist-seth-consciousness-god-2026,Iain McGilchrist vs Anil Seth: Does Consciousness Point to God?,15,15,6,0,5,0
126,craig-clifton-kalam-cosmological-argument-2021,William Lane Craig vs Scott Clifton: The Kalam Cosmological Argument,9,9,1,1,0,0
62,pageau-folley-logos-meaning-resurrection-2026,"Jonathan Pageau vs Joe Folley: Genesis, Jesus, Science, and Faith",10,10,2,0,0,0
30,lowder-turek-naturalism-theism-2016,Jeffery Jay Lowder vs Frank Turek: Naturalism or Theism?,11,12,2,0,0,0
214,pageau-woodford-metaphorical-truth-2020,Metaphorical Truth and Religious Patterns: Jonathan Pageau vs. Stephen Woodford (2020),15,15,3,1,0,0
55,craig-malpass-kalam-nothing-2026,William Lane Craig vs Alex Malpass: Can Something Come From Nothing?,8,9,1,0,1,0
05,dillahunty-ten-bruggencate-reasonable-god-2014,Matt Dillahunty vs Sye Ten Bruggencate: Is It Reasonable to Believe God Exists?,10,10,2,1,0,0
69,winger-dillahunty-resurrection-unreasonable-2019,Mike Winger vs Matt Dillahunty: Is Belief in the Resurrection Unreasonable?,12,12,1,0,0,0
172,hitchens-mcgrath-religious-belief-2007,Christopher Hitchens vs Alister McGrath: Poison or Cure? Religious Belief in the Modern World,9,10,0,2,0,0
215,horn-oconnor-christian-belief-2022,Why Be a Christian? Trent Horn vs. Alex O'Connor (2022),14,14,3,0,0,0
112,copan-woodford-belief-god-reasonable-2024,Paul Copan vs Stephen Woodford: Is Belief in God Reasonable?,11,9,0,3,0,0
210,paterson-schmid-divine-hiddenness-relationship-2026,Divine Hiddenness and Religious Evidence: Joe Schmid vs. Dan Paterson (2026),13,13,6,0,0,0
106,peterson-blackmore-god-meaning-life-2018,Jordan Peterson vs Susan Blackmore: Do We Need God to Make Sense of Life?,9,8,2,0,0,0
25,hitchens-ramadan-islam-peace-2010,Christopher Hitchens vs Tariq Ramadan: Is Islam a Religion of Peace?,10,10,0,1,0,0
223,collins-dawkins-science-belief-god-2022,Science and Belief in God: Francis Collins vs. Richard Dawkins (2022),20,22,5,2,3,0
211,baggini-baker-hytch-divine-hiddenness-2025,Divine Hiddenness and Evidential Ambiguity: Julian Baggini vs. Max Baker-Hytch (2025),13,12,3,1,0,0
203,craig-flew-god-existence-1998,Does God Exist? William Lane Craig vs. Antony Flew (1998),19,16,7,0,4,0
101,woodford-scrivener-religion-poisons-everything-2026,Stephen Woodford vs Glen Scrivener: Does Religion Poison Everything?,11,10,0,1,0,0
206,williams-dawkins-god-science-reality-2026,"God, Science and the Poetry of Reality: Rowan Williams vs. Richard Dawkins (2026)",12,13,3,4,2,0
217,douthat-oconnor-religious-belief-obligation-2026,Religious Belief as an Obligation: Ross Douthat vs. Alex O'Connor (2026),21,17,9,0,1,0
143,vela-dillahunty-transcendental-evidence-god-2020,Tyler Vela vs Matt Dillahunty: Is There Good Evidence for God?,10,10,2,1,1,0
198,ferrer-dillahunty-god-morality-2018,John Ferrer vs Matt Dillahunty: Do We Need God for Morality?,13,14,5,0,3,0
29,turek-silverman-reality-theism-atheism-2013,Frank Turek vs David Silverman: Which Better Explains Reality?,10,9,1,0,0,0
