number,id,title,youtube,cohort,topic,narrow,theist_speaker,non_theist_speaker,theist_words,non_theist_words,unknown_words,excluded_words,source_words,teaser_spans,source_note,theist_unsupported,theist_protected_slogan,theist_protected_any,theist_borderline_unsupported,theist_borderline_protected,theist_unsupported_with_emotion,non_theist_unsupported,non_theist_protected_slogan,non_theist_protected_any,non_theist_borderline_unsupported,non_theist_borderline_protected,non_theist_unsupported_with_emotion,theist_unsupported_rate,theist_protected_slogan_rate,theist_protected_any_rate,theist_borderline_unsupported_rate,theist_borderline_protected_rate,non_theist_unsupported_rate,non_theist_protected_slogan_rate,non_theist_protected_any_rate,non_theist_borderline_unsupported_rate,non_theist_borderline_protected_rate
12,settecase-jump-evidence-for-god-2025,Joel Settecase vs Tom Jump: Is There Evidence for God?,https://www.youtube.com/watch?v=XLcRd3RjdjA,earlier,"Mind, reason & logic",True,Joel Settecase,Tom Jump,5676,5404,260,803,12143,0,"Reviewed all supplied events, including the closing advertisement. Attribution follows conversational turns rather than treating the identification anchors as uninterrupted speaker ranges. Several events contain both speakers; these are marked U. The transcript contains recognition errors and lacks audio for resolving brief overlaps. No edited teaser replay is identifiable.",1,1,1,2,1,1,2,2,3,2,2,0,1.7618040873854828,1.7618040873854828,1.7618040873854828,3.5236081747709656,1.7618040873854828,3.7009622501850483,3.7009622501850483,5.5514433752775725,3.7009622501850483,3.7009622501850483
13,knechtle-oconnor-christian-morality-2025,"Cliffe Knechtle vs Alex O'Connor: Christianity, Scripture, and Morality",https://www.youtube.com/watch?v=EN5Jqu2-2P8,earlier,Morality & moral foundations,False,Cliffe Knechtle,Alex O'Connor,3569,4617,1074,439,9699,0,"Reviewed all supplied events, E0–E925. The transcript ends mid-sentence and lacks speaker labels. Supplied identification anchors were used alongside turn continuity; unanchored guest turns that cannot reliably be distinguished between Cliffe and Stuart are U. Attribution does not infer identity from ideology. Transcription errors limit some interpretations. No edited teaser replays were identifiable.",1,0,1,2,1,1,0,0,0,0,0,0,2.8019052956010086,0.0,2.8019052956010086,5.603810591202017,2.8019052956010086,0.0,0.0,0.0,0.0,0.0
14,jones-carrier-god-existence-2025,Michael Jones vs Richard Carrier: Does God Exist?,https://www.youtube.com/watch?v=Ht_SVm0GWBs,earlier,General theism & naturalism,True,Michael Jones,Richard Carrier,8607,12123,183,2430,23343,1,"Reviewed all supplied events E0–E3540. Attribution uses conversational context, not ideology. Automatic transcription contains damaged names, missing speaker markers, and several events combining speakers; those inseparable events are marked U. No audio, slides, cited papers, or linked articles were supplied or checked. Findings concern the speech's use of reasons, not whether its scientific or philosophical claims are correct.",0,0,0,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2.323690019751365,0.0,0.0,0.0,0.0,0.0,0.0
15,hitchens-lennox-is-god-great-2017,Christopher Hitchens vs John Lennox: Is God Great?,https://www.youtube.com/watch?v=5OXPlUCGScY,earlier,"Religion, culture & meaning",False,John Lennox,Christopher Hitchens,6381,8785,313,2455,17934,0,Reviewed all supplied events E0–E2632. Attribution follows conversational context rather than ideological content or anchors alone. The transcript contains transcription errors and several events spanning speaker changes; these are marked U where inseparable. No audio verification was available. No edited teaser replays were identifiable.,1,0,1,0,0,1,1,1,2,1,1,1,1.567152483936687,0.0,1.567152483936687,0.0,0.0,1.1383039271485487,1.1383039271485487,2.2766078542970973,1.1383039271485487,1.1383039271485487
16,hirsi-ali-dawkins-god-debate-2024,Ayaan Hirsi Ali vs Richard Dawkins: The God Debate,https://www.youtube.com/watch?v=DBsHdHMvucs,earlier,"Religion, culture & meaning",False,Ayaan Hirsi Ali,Richard Dawkins,5154,1899,5,1364,8422,0,Reviewed all supplied events E0–E1264. Attribution uses the transcript's conversational turns; no audio was supplied. Apparent transcription errors are preserved in quotations. E920 contains an apparent brief interjection within A's turn and is marked U. No edited teaser replays were identifiable.,1,0,0,0,1,0,1,0,0,1,0,0,1.9402405898331394,0.0,0.0,0.0,1.9402405898331394,5.265929436545551,0.0,0.0,5.265929436545551,0.0
17,collins-oconnor-god-existence-2024,Francis Collins vs Alex O'Connor: Does God Exist?,https://www.youtube.com/watch?v=fXBGvNc2mvU,earlier,"Cosmology, science & design",True,Francis Collins,Alex O'Connor,6455,10455,976,2366,20252,2,Reviewed all supplied events E0–E2845. Attribution follows conversational context rather than treating identification anchors as uninterrupted turns. U marks events containing inseparable speaker changes or unclear interjections. The transcript contains recognition errors and lacks audio; quotations preserve its wording. Related autobiographical accounts explaining belief are retained as substantive speech.,0,0,0,1,1,0,1,0,0,0,0,1,0.0,0.0,0.0,1.549186676994578,1.549186676994578,0.9564801530368244,0.0,0.0,0.0,0.0
20,hitchens-hitchens-iraq-god-2008,"Christopher Hitchens vs Peter Hitchens: Iraq, God, and Moral Authority",https://www.youtube.com/watch?v=ngjQs_QjSwc,earlier,Morality & moral foundations,False,Peter Hitchens,Christopher Hitchens,4836,10132,284,2823,18075,0,"Reviewed all supplied events E0–E2725. This annotation concerns claim use, not factual verification or debate scoring. The transcript contains transcription errors, incidental music labels, and events combining speakers. Such mixed events are marked U where separation is impossible; housekeeping remains O. No edited teaser replay was identifiable from the supplied text.",1,0,0,1,2,0,1,0,2,0,0,1,2.0678246484698097,0.0,0.0,2.0678246484698097,4.1356492969396195,0.9869719699960521,0.0,1.9739439399921042,0.0,0.0
21,hitchens-wolpe-great-god-debate-2010,Christopher Hitchens vs Rabbi David Wolpe: The Great God Debate,https://www.youtube.com/watch?v=2kZRAOXEFPI,earlier,"Religion, culture & meaning",False,Rabbi David Wolpe,Christopher Hitchens,5686,7621,1337,2166,16810,0,"Reviewed all supplied events E0–E2375. Attribution follows local turn-taking, including interruptions within the identification anchors. U marks events containing inseparable speaker changes or genuinely ambiguous interjections. The transcript has transcription errors, censored words, and no reliable speaker labels; exact quotations preserve its wording. No edited teaser replay was identifiable.",2,0,0,0,0,2,1,1,1,0,0,1,3.5174111853675694,0.0,0.0,0.0,0.0,1.312163758037003,1.312163758037003,1.312163758037003,0.0,0.0
22,turek-hitchens-god-existence-2008,Frank Turek vs Christopher Hitchens: Does God Exist?,https://www.youtube.com/watch?v=S7WBEJJlYWU,earlier,"Cosmology, science & design",True,Frank Turek,Christopher Hitchens,7615,11089,866,2413,21983,0,"Reviewed all supplied events, E0–E3230. This is annotation of the supplied transcript, not verification of its historical or scientific claims. Transcription errors, missing speaker labels, and frequent within-event interruptions limit exact attribution; inseparably mixed events are U. Quotations preserve source wording. No edited teaser replays were identifiable.",0,0,2,2,2,0,1,0,2,1,0,1,0.0,0.0,2.6263952724885096,2.6263952724885096,2.6263952724885096,0.9017945711966814,0.0,1.8035891423933628,0.9017945711966814,0.0
24,hitchens-olasky-religion-grace-2007,"Christopher Hitchens vs Marvin Olasky: Religion, Grace, and Secular Morality",https://www.youtube.com/watch?v=lcHMSNiI97w,earlier,Morality & moral foundations,False,Marvin Olasky,Christopher Hitchens,8072,8236,149,2180,18637,0,"Reviewed all supplied events E0–E3100. Attribution follows conversational context rather than ideology. The transcript contains transcription errors, missing speaker markers, and some inseparably mixed events; U marks those uncertainties. Quotations preserve supplied wording. Historical and empirical claims are annotated as arguments offered, not independently verified facts.",0,0,1,2,1,0,3,0,0,2,2,3,0.0,0.0,1.2388503468780971,2.4777006937561943,1.2388503468780971,3.642544924720738,0.0,0.0,2.4283632831471587,2.4283632831471587
25,hitchens-ramadan-islam-peace-2010,Christopher Hitchens vs Tariq Ramadan: Is Islam a Religion of Peace?,https://www.youtube.com/watch?v=mMraxhd9Z9Q,earlier,"Scripture, revelation & doctrine",False,Tariq Ramadan,Christopher Hitchens,6828,5783,276,1573,14460,0,"Reviewed all supplied events E0–E2151. This annotation concerns uses of language, not the truth of every historical claim. The transcript contains transcription errors, omitted reactions, and events combining speakers; inseparable transitions are marked U. No identifiable edited teaser replay appears in the supplied text.",0,0,0,2,2,0,1,0,0,1,0,1,0.0,0.0,0.0,2.9291154071470418,2.9291154071470418,1.7292062943109112,0.0,0.0,1.7292062943109112,0.0
26,turek-hitchens-reality-theism-atheism-2011,Frank Turek vs Christopher Hitchens: What Best Explains Reality?,https://www.youtube.com/watch?v=uDCDTaKfzXU,earlier,General theism & naturalism,True,Frank Turek,Christopher Hitchens,9347,10291,795,2241,22674,0,"Reviewed all supplied events E0–E3320. Attribution follows conversational turns, including mixed events marked U. The transcript contains apparent recognition errors, omitted words, and unsignaled interruptions; no audio was supplied for verification. Quotations preserve the supplied wording. No identifiable edited replay was found; E0–E2 are opening title material.",2,2,4,2,2,2,1,0,0,2,0,1,2.1397239756071467,2.1397239756071467,4.279447951214293,2.1397239756071467,2.1397239756071467,0.9717228646390049,0.0,0.0,1.9434457292780098,0.0
27,oconnor-turek-evil-moral-argument-2017,Alex O'Connor vs Frank Turek: The Moral Argument Debate,https://www.youtube.com/watch?v=b5a3MxIqZOs,earlier,"Evil, suffering & hiddenness",True,Frank Turek,Alex O'Connor,2719,4656,1377,3599,12351,0,"Reviewed all supplied events E0–E1690. Attribution follows conversational context rather than the supplied anchors where they conflict: several anchors include moderator speech or speaker changes. U marks inseparably mixed events or uncertain brief interjections. The transcript contains transcription errors, missing material around timestamp jumps, and no audio-based resolution of overlaps. No edited teaser replay is identifiable in the supplied text.",1,1,1,0,0,1,0,0,0,0,0,0,3.6778227289444647,3.6778227289444647,3.6778227289444647,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,turek-shermer-reality-theism-atheism-2018,Frank Turek vs Michael Shermer: What Best Explains Reality?,https://www.youtube.com/watch?v=8aZn7XUFSmA,earlier,General theism & naturalism,True,Frank Turek,Michael Shermer,7597,9010,1507,3698,21812,0,"Reviewed all supplied events, E0–E3108, using only the supplied transcript. Automatic-transcription errors and events containing speaker changes limit exact attribution; U marks genuinely mixed or unclear events. Identification anchors were checked against conversational context rather than treated as uninterrupted speaker blocks. No edited teaser replay was identifiable. Findings concern claim use, not factual accuracy or debate performance.",2,1,1,1,0,2,0,0,0,1,1,0,2.6326181387389758,1.3163090693694879,1.3163090693694879,1.3163090693694879,0.0,0.0,0.0,0.0,1.1098779134295227,1.1098779134295227
29,turek-silverman-reality-theism-atheism-2013,Frank Turek vs David Silverman: Which Better Explains Reality?,https://www.youtube.com/watch?v=RzP07nEwNP8,earlier,General theism & naturalism,True,Frank Turek,David Silverman,9800,7186,2271,4526,23783,0,"Reviewed all supplied events E0–E3390. The transcript contains recognition errors, missing punctuation, a time jump between E165 and E166, and many turns sharing event boundaries. U marks inseparably mixed or genuinely uncertain events; attribution does not follow ideology or override these boundaries using the supplied anchors. E2024–E2054 is an external explanatory video presented by B, not an editorial replay. Findings concern textual uses, not factual verification or debate scores.",3,3,5,0,0,3,3,0,0,2,1,3,3.061224489795918,3.061224489795918,5.1020408163265305,0.0,0.0,4.174784302811021,0.0,0.0,2.7831895352073475,1.3915947676036737
30,lowder-turek-naturalism-theism-2016,Jeffery Jay Lowder vs Frank Turek: Naturalism or Theism?,https://www.youtube.com/watch?v=ENZYEPpR2Jc,earlier,General theism & naturalism,True,Frank Turek,Jeffery Jay Lowder,9926,10873,871,1931,23601,0,"Reviewed all supplied events E0–E3493. Annotation uses the retained text only; apparent transcription errors, missing slide content, and events containing both speakers limit precision. U marks inseparably mixed events, including substantive speech joined to housekeeping. No edited teaser replay was identifiable.",2,1,4,3,3,1,0,0,0,0,0,0,2.014910336490026,1.007455168245013,4.029820672980052,3.0223655047350393,3.0223655047350393,0.0,0.0,0.0,0.0,0.0
31,oconnor-craig-resurrection-2023,Alex O'Connor vs William Lane Craig: Did Jesus Rise From the Dead?,https://www.youtube.com/watch?v=WsUwyC2cwNg,earlier,Resurrection & historical evidence,True,William Lane Craig,Alex O'Connor,4580,3704,327,1531,10142,2,"Reviewed all supplied events E0–E1510. The transcript contains transcription errors and events crossing speaker boundaries; U marks those mixed events. Attribution follows conversational context rather than approximate anchors: notably, E793–E798 continues O'Connor's challenge. No audio or external sources were consulted. Findings concern claim use, not historical accuracy or debate performance.",1,0,1,0,0,0,0,0,0,1,0,0,2.183406113537118,0.0,2.183406113537118,0.0,0.0,0.0,0.0,0.0,2.699784017278618,0.0
33,craig-carroll-god-cosmology-2014,William Lane Craig vs Sean Carroll: God and Cosmology,https://www.youtube.com/watch?v=X0qKZqPy9T8,earlier,"Cosmology, science & design",True,William Lane Craig,Sean Carroll,8080,10247,255,3486,22068,0,"Reviewed all supplied events E0–E3322. The transcript contains transcription errors, omitted slide content, and events spanning speaker changes; these mixed events are labeled U. Judgments concern the supplied wording and argumentative use, without independent verification of scientific claims. No edited teaser replays were identifiable.",0,0,0,1,1,0,1,1,1,0,0,1,0.0,0.0,0.0,1.2376237623762376,1.2376237623762376,0.9758953840148336,0.9758953840148336,0.9758953840148336,0.0,0.0
36,carroll-halvorson-metaphysics-worldview-2016,Sean Carroll vs Hans Halvorson: Metaphysics,https://www.youtube.com/watch?v=Ku6tLuEjmTY,earlier,General theism & naturalism,True,Hans Halvorson,Sean Carroll,8839,6265,471,1848,17423,0,Reviewed all supplied events E0–E2535. The transcript contains transcription errors and several events spanning speaker changes; these are marked U where mixed attribution cannot be separated at event level. No edited teaser replay was identifiable. Personal histories directly explaining worldview development were retained as substantive answers. No unsupported slogan was confirmed; one possible protective non-slogan episode remains uncertain.,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,ehrman-bass-resurrection-history-2023,Bart Ehrman vs Justin Bass: Did Jesus of Nazareth Rise From the Dead?,https://www.youtube.com/watch?v=LVUQAVQS1-U,earlier,Resurrection & historical evidence,True,Justin Bass,Bart Ehrman,6039,6113,1422,2517,16091,1,"Reviewed all supplied events E0–E2512. Attribution follows conversational turns rather than the supplied anchors where they conflict with context. The transcript lacks speaker labels and contains interruptions, merged turns, and transcription errors; inseparably mixed events are U. Brief acknowledgments are included with a substantive turn where reasonably attributable. Findings concern the supplied wording, without audio verification or external fact-checking.",0,0,0,1,1,0,0,0,0,0,0,0,0.0,0.0,0.0,1.6559032952475576,1.6559032952475576,0.0,0.0,0.0,0.0,0.0
39,lambert-jones-christian-faith-skepticism-2021,Derek Lambert vs Michael Jones: Atheist and Christian Discussion,https://www.youtube.com/watch?v=SEZu7Ej2SzU,earlier,"Scripture, revelation & doctrine",True,Michael Jones,Derek Lambert,14064,8356,532,4209,27161,0,"Reviewed all supplied events E0–E4102. This is an unlabelled, error-prone transcript; several events contain speaker changes that cannot be separated at event level and are marked U. Attribution follows conversational context rather than the supplied anchors where they conflict, notably within E1804–E1902 and E2955–E3015. Referenced videos and books are not supplied, so their additional arguments cannot be assessed. No edited replay of later debate speech is identifiable; the opening music and promotional montage are excluded as O.",0,0,0,3,3,0,0,0,0,0,0,0,0.0,0.0,0.0,2.1331058020477816,2.1331058020477816,0.0,0.0,0.0,0.0,0.0
42,schmid-tomaszewski-divine-simplicity-2020,Joe Schmid vs Chris Tomaszewski: Is Divine Simplicity True?,https://www.youtube.com/watch?v=rX6di0Au5Kg,earlier,"Scripture, revelation & doctrine",False,Christopher Tomaszewski,Joseph Schmid,9017,7504,13,3963,20497,0,"Reviewed all supplied events E0–E2994. Attribution follows conversational context; introductions, procedural exchanges, promotions, and closing courtesies are O. The transcript contains transcription errors and occasional mixed turn boundaries; no audio or linked discussion brief was supplied. No edited teasers were identifiable. No confirmed unsupported slogans or explicit criticism-protection episodes were found in the primary speakers' substantive speech. A's suggested skeptical-theist response at E2348–2378 is explicitly hypothetical and concerns possible reasons for noncreation; it does not establish unrestricted protection against contrary evidence. B's doctrinal formulations receive explanations and qualifications rather than functioning as substitutes for reasons. The moderator's closing affirmation at E2986–2988 is excluded speech.",0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,meyer-halper-cosmology-fine-tuning-2026,Stephen Meyer vs Phil Halper: The Big Bang and Fine-Tuning,https://www.youtube.com/watch?v=EsrfL58iLlE,earlier,"Cosmology, science & design",True,Stephen Meyer,Phil Halper,11647,12956,558,8055,33216,1,"Reviewed all supplied events, E0–E4970. Attribution follows conversational context, not viewpoint. The transcript contains transcription errors, missing words, unmarked interruptions, and events combining speakers; U marks inseparable or genuinely uncertain speech. O includes personal background and closing courtesies. Scientific and historical claims were not independently verified. Candidate findings concern argumentative use, not truth or debate performance.",0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,shapiro-oconnor-atheist-delusion-society-2023,"Ben Shapiro vs Alex O'Connor: The Atheist Delusion, Free Will, and Society",https://www.youtube.com/watch?v=yspPYcJHI3k,earlier,"Religion, culture & meaning",False,Ben Shapiro,Alex O'Connor,8119,6343,759,2203,17424,1,"Reviewed all supplied events, E0–E2440. This is annotation of textual uses, not verification of historical or social-science claims. The automatic transcript contains errors and places speaker changes inside individual events; inseparably mixed events are marked U. Brief acknowledgments embedded in an otherwise identifiable speaker's argument remain attributed to that speaker.",3,2,4,1,2,2,0,0,0,0,0,0,3.695036334523956,2.463357556349304,4.926715112698608,1.231678778174652,2.463357556349304,0.0,0.0,0.0,0.0,0.0
47,jones-krauss-christianity-secular-ethics-2025,Michael Jones vs Lawrence Krauss: Christianity or Secular Ethics - What's Best for Society?,https://www.youtube.com/watch?v=yef-BFukQWg,earlier,Morality & moral foundations,False,Michael Jones,Lawrence Krauss,8300,12059,1049,4028,25436,0,"Reviewed all supplied events E0–E3733. This annotation uses only the supplied transcript; cited research and historical claims were not independently verified. Transcription errors, missing speaker labels, and events containing speaker changes limit attribution. U marks inseparably mixed events or genuinely uncertain turns. No edited teaser replay was identifiable.",0,0,0,1,1,0,1,0,0,2,1,1,0.0,0.0,0.0,1.2048192771084338,1.2048192771084338,0.8292561572269674,0.0,0.0,1.6585123144539349,0.8292561572269674
48,scrivener-folley-hiddenness-evil-moral-narrative-2025,"Glen Scrivener vs Joe Folley: Morality, Evil, Consciousness, and Christian Narrative",https://www.youtube.com/watch?v=6BzHMdTeQww,earlier,"Evil, suffering & hiddenness",True,Glen Scrivener,Joe Folley,5793,9531,177,399,15900,1,"Reviewed all supplied events, E0–E2304. Attribution follows conversational continuity rather than treating every >> marker as a speaker change. Some events combine speakers or contain acknowledgments whose speaker cannot be established from text alone; these are U. The transcript contains apparent transcription errors, preserved in quotations. No audio or external sources were consulted.",0,0,1,0,0,0,0,0,1,0,0,0,0.0,0.0,1.7262213015708614,0.0,0.0,0.0,0.0,1.0492078480747036,0.0,0.0
49,dyer-dillahunty-transcendental-theism-2019,Jay Dyer vs Matt Dillahunty: Transcendental Argument for Theism,https://www.youtube.com/watch?v=AajJBhdRpDA,earlier,"Mind, reason & logic",True,Jay Dyer,Matt Dillahunty,11827,14110,1262,3308,30507,0,"Reviewed all supplied events E0–E4405. The transcript contains substantial recognition errors, unmarked speaker changes, and occasional inseparably mixed events. U marks those boundaries; identification anchors were checked against conversational context rather than applied wholesale. Audience questions and comments read aloud are O. No edited teaser replay was identifiable. Findings concern these particular uses, not the truth of either worldview.",0,0,0,1,1,0,1,0,0,1,1,1,0.0,0.0,0.0,0.845522955948254,0.845522955948254,0.7087172218284904,0.0,0.0,0.7087172218284904,0.7087172218284904
50,knechtle-dillahunty-christianity-true-2023,Cliffe Knechtle vs Matt Dillahunty: Is Christianity True?,https://www.youtube.com/watch?v=aAg3H1LU1Yw,earlier,"Scripture, revelation & doctrine",True,Cliffe Knechtle,Matt Dillahunty,7547,9138,214,10591,27490,0,"Reviewed all supplied events E0–E4146. Attribution follows conversational turns rather than the broad anchor ranges, some of which contain interruptions. Several events splice speakers or contain garbled text; these are marked U where separation is impossible. O includes procedural exchanges, audience questions, closing courtesies, and the entire moderator aftershow. No edited teaser replay is identifiable in the supplied text. Findings concern textual use, not factual verification of historical claims.",4,4,4,5,4,4,1,0,0,0,1,1,5.300119252683185,5.300119252683185,5.300119252683185,6.625149065853981,5.300119252683185,1.094331363536879,0.0,0.0,0.0,1.094331363536879
