debate_number,debate_id,title,label,motion,side,speaker,opponent,score,opponent_score,cohort,margin,generation_adjusted_score
6,dsouza-dillahunty-god-woman-2023,Dinesh D'Souza vs Matt Dillahunty: Does God Exist? What Is a Woman?,Theism and public reason,"Should beliefs about God, gender, politics, and social welfare be guided by faith-informed inference, empirical evidence, or secular-humanist consequences?",pro,Dinesh D'Souza,Matt Dillahunty,77,87,closed,-10,76.5085248234426
6,dsouza-dillahunty-god-woman-2023,Dinesh D'Souza vs Matt Dillahunty: Does God Exist? What Is a Woman?,Theism and public reason,"Should beliefs about God, gender, politics, and social welfare be guided by faith-informed inference, empirical evidence, or secular-humanist consequences?",con,Matt Dillahunty,Dinesh D'Souza,87,77,closed,10,86.5085248234426
7,wood-oconnor-jesus-claim-god-2025,David Wood vs Alex O'Connor: Did Jesus Claim to Be God?,New Testament christology,"Did Jesus personally claim divine identity, or do the relevant texts better show delegated authority, divine name-bearing, and later high christology?",pro,David Wood,Alex O'Connor,83,90,closed,-7,82.5085248234426
7,wood-oconnor-jesus-claim-god-2025,David Wood vs Alex O'Connor: Did Jesus Claim to Be God?,New Testament christology,"Did Jesus personally claim divine identity, or do the relevant texts better show delegated authority, divine name-bearing, and later high christology?",con,Alex O'Connor,David Wood,90,83,closed,7,89.5085248234426
8,wood-shermer-god-exist-2022,David Wood vs Michael Shermer: Does God Exist?,"Science, morality, and God","Does science, morality, evil, and explanatory method support theism more strongly than skeptical naturalism?",pro,David Wood,Michael Shermer,73,80,closed,-7,72.5085248234426
8,wood-shermer-god-exist-2022,David Wood vs Michael Shermer: Does God Exist?,"Science, morality, and God","Does science, morality, evil, and explanatory method support theism more strongly than skeptical naturalism?",con,Michael Shermer,David Wood,80,73,closed,7,79.5085248234426
9,peterson-dillahunty-god-debate-2023,Jordan Peterson vs Matt Dillahunty: The Greatest God Debate In History,God and religious meaning,"Does God-language name a real supernatural being, or does it function mainly as a religious, moral, and psychological substrate for meaning?",pro,Jordan Peterson,Matt Dillahunty,73,89,closed,-16,72.5085248234426
9,peterson-dillahunty-god-debate-2023,Jordan Peterson vs Matt Dillahunty: The Greatest God Debate In History,God and religious meaning,"Does God-language name a real supernatural being, or does it function mainly as a religious, moral, and psychological substrate for meaning?",con,Matt Dillahunty,Jordan Peterson,89,73,closed,16,88.5085248234426
10,craig-harris-moral-foundations-2011,William Lane Craig vs Sam Harris: The God Debate II,Moral foundations,Are the foundations of moral values and duties natural or supernatural?,pro,William Lane Craig,Sam Harris,79,79,closed,0,78.5085248234426
10,craig-harris-moral-foundations-2011,William Lane Craig vs Sam Harris: The God Debate II,Moral foundations,Are the foundations of moral values and duties natural or supernatural?,con,Sam Harris,William Lane Craig,79,79,closed,0,78.5085248234426
11,dsouza-ehrman-god-suffering-evil-2025,"Dinesh D'Souza vs Bart Ehrman: God, Suffering, and Evil",Problem of evil,"Can belief in a loving, powerful God survive the scale of suffering and evil in the world?",pro,Dinesh D'Souza,Bart Ehrman,79,87,closed,-8,78.5085248234426
11,dsouza-ehrman-god-suffering-evil-2025,"Dinesh D'Souza vs Bart Ehrman: God, Suffering, and Evil",Problem of evil,"Can belief in a loving, powerful God survive the scale of suffering and evil in the world?",con,Bart Ehrman,Dinesh D'Souza,87,79,closed,8,86.5085248234426
12,settecase-jump-evidence-for-god-2025,Joel Settecase vs Tom Jump: Is There Evidence for God?,Evidence and presuppositions,"Does evidence for God exist, or are logic, mathematics, and intelligibility better explained without Christian theism?",pro,Joel Settecase,Tom Jump,84,78,closed,6,83.5085248234426
12,settecase-jump-evidence-for-god-2025,Joel Settecase vs Tom Jump: Is There Evidence for God?,Evidence and presuppositions,"Does evidence for God exist, or are logic, mathematics, and intelligibility better explained without Christian theism?",con,Tom Jump,Joel Settecase,78,84,closed,-6,77.5085248234426
13,knechtle-oconnor-christian-morality-2025,"Cliffe Knechtle vs Alex O'Connor: Christianity, Scripture, and Morality",Christian ethics,"Can Christianity's claims about forgiveness, morality, divine judgment, conquest, and slavery withstand skeptical objections?",pro,Cliffe Knechtle,Alex O'Connor,76,87,closed,-11,75.5085248234426
13,knechtle-oconnor-christian-morality-2025,"Cliffe Knechtle vs Alex O'Connor: Christianity, Scripture, and Morality",Christian ethics,"Can Christianity's claims about forgiveness, morality, divine judgment, conquest, and slavery withstand skeptical objections?",con,Alex O'Connor,Cliffe Knechtle,87,76,closed,11,86.5085248234426
14,jones-carrier-god-existence-2025,Michael Jones vs Richard Carrier: Does God Exist?,God and naturalism,"Does the evidence from consciousness, emergence, morality, and cosmology make theism more plausible than naturalism?",pro,Michael Jones,Richard Carrier,74,73,closed,1,73.5085248234426
14,jones-carrier-god-existence-2025,Michael Jones vs Richard Carrier: Does God Exist?,God and naturalism,"Does the evidence from consciousness, emergence, morality, and cosmology make theism more plausible than naturalism?",con,Richard Carrier,Michael Jones,73,74,closed,-1,72.5085248234426
15,hitchens-lennox-is-god-great-2017,Christopher Hitchens vs John Lennox: Is God Great?,God and anti-theism,"Is God great, and does Christian theism better explain science, morality, dignity, and hope than Hitchens's anti-theistic critique?",pro,John Lennox,Christopher Hitchens,77,81,closed,-4,76.5085248234426
15,hitchens-lennox-is-god-great-2017,Christopher Hitchens vs John Lennox: Is God Great?,God and anti-theism,"Is God great, and does Christian theism better explain science, morality, dignity, and hope than Hitchens's anti-theistic critique?",con,Christopher Hitchens,John Lennox,81,77,closed,4,80.5085248234426
16,hirsi-ali-dawkins-god-debate-2024,Ayaan Hirsi Ali vs Richard Dawkins: The God Debate,Faith and civilization,"Can Hirsi Ali's Christian turn be justified by personal experience, truth, and civilizational need, or should Dawkins's atheist truth test reject it?",pro,Ayaan Hirsi Ali,Richard Dawkins,74,84,closed,-10,73.5085248234426
16,hirsi-ali-dawkins-god-debate-2024,Ayaan Hirsi Ali vs Richard Dawkins: The God Debate,Faith and civilization,"Can Hirsi Ali's Christian turn be justified by personal experience, truth, and civilizational need, or should Dawkins's atheist truth test reject it?",con,Richard Dawkins,Ayaan Hirsi Ali,84,74,closed,10,83.5085248234426
17,collins-oconnor-god-existence-2024,Francis Collins vs Alex O'Connor: Does God Exist?,Science and faith,"Do fine-tuning, morality, resurrection, revelation, and beauty make Christian theism more plausible than O'Connor's skeptical agnosticism?",pro,Francis Collins,Alex O'Connor,79,88,closed,-9,78.5085248234426
17,collins-oconnor-god-existence-2024,Francis Collins vs Alex O'Connor: Does God Exist?,Science and faith,"Do fine-tuning, morality, resurrection, revelation, and beauty make Christian theism more plausible than O'Connor's skeptical agnosticism?",con,Alex O'Connor,Francis Collins,88,79,closed,9,87.5085248234426
19,harris-oconnor-objective-morality-2024,Sam Harris vs Alex O'Connor: Objective Morality and Emotivism,Moral landscape and emotivism,"Can objective morality be grounded in facts about conscious well-being, or does ethical language reduce to emotive expression plus instrumental science?",pro,Sam Harris,Alex O'Connor,77,88,closed,-11,76.5085248234426
19,harris-oconnor-objective-morality-2024,Sam Harris vs Alex O'Connor: Objective Morality and Emotivism,Moral landscape and emotivism,"Can objective morality be grounded in facts about conscious well-being, or does ethical language reduce to emotive expression plus instrumental science?",con,Alex O'Connor,Sam Harris,88,77,closed,11,87.5085248234426
20,hitchens-hitchens-iraq-god-2008,"Christopher Hitchens vs Peter Hitchens: Iraq, God, and Moral Authority","Iraq, God, and moral authority","Was the invasion of Iraq defensible, and does religion supply or corrupt moral authority?",pro,Christopher Hitchens,Peter Hitchens,79,77,closed,2,78.5085248234426
20,hitchens-hitchens-iraq-god-2008,"Christopher Hitchens vs Peter Hitchens: Iraq, God, and Moral Authority","Iraq, God, and moral authority","Was the invasion of Iraq defensible, and does religion supply or corrupt moral authority?",con,Peter Hitchens,Christopher Hitchens,77,79,closed,-2,76.5085248234426
21,hitchens-wolpe-great-god-debate-2010,Christopher Hitchens vs Rabbi David Wolpe: The Great God Debate,"God, meaning, and faith","Does religious faith reveal God, moral meaning, and human freedom, or does it replace reason with projection, authority, and harmful consolation?",pro,Christopher Hitchens,Rabbi David Wolpe,85,76,closed,9,84.5085248234426
21,hitchens-wolpe-great-god-debate-2010,Christopher Hitchens vs Rabbi David Wolpe: The Great God Debate,"God, meaning, and faith","Does religious faith reveal God, moral meaning, and human freedom, or does it replace reason with projection, authority, and harmful consolation?",con,Rabbi David Wolpe,Christopher Hitchens,76,85,closed,-9,75.5085248234426
22,turek-hitchens-god-existence-2008,Frank Turek vs Christopher Hitchens: Does God Exist?,"Cosmology, design, and anti-theism","Does God exist, and do cosmology, design, morality, consciousness, and Christian claims outweigh the anti-theist critique of religion?",pro,Frank Turek,Christopher Hitchens,74,81,closed,-7,73.5085248234426
22,turek-hitchens-god-existence-2008,Frank Turek vs Christopher Hitchens: Does God Exist?,"Cosmology, design, and anti-theism","Does God exist, and do cosmology, design, morality, consciousness, and Christian claims outweigh the anti-theist critique of religion?",con,Christopher Hitchens,Frank Turek,81,74,closed,7,80.5085248234426
23,oconnor-biddle-objective-morality-2024,Alex O'Connor vs Craig Biddle: Is Morality Objective?,Objectivist morality and emotivism,"Is morality objectively grounded in the factual requirements of human life, or are moral claims expressions of emotion without truth value?",pro,Craig Biddle,Alex O'Connor,82,89,closed,-7,81.5085248234426
23,oconnor-biddle-objective-morality-2024,Alex O'Connor vs Craig Biddle: Is Morality Objective?,Objectivist morality and emotivism,"Is morality objectively grounded in the factual requirements of human life, or are moral claims expressions of emotion without truth value?",con,Alex O'Connor,Craig Biddle,89,82,closed,7,88.5085248234426
24,hitchens-olasky-religion-grace-2007,"Christopher Hitchens vs Marvin Olasky: Religion, Grace, and Secular Morality","Religion, grace, and secular morality","Does religion poison everything, or does Christianity provide grace, charity, moral transformation, and historical credibility that defeat that charge?",pro,Christopher Hitchens,Marvin Olasky,80,82,closed,-2,79.5085248234426
24,hitchens-olasky-religion-grace-2007,"Christopher Hitchens vs Marvin Olasky: Religion, Grace, and Secular Morality","Religion, grace, and secular morality","Does religion poison everything, or does Christianity provide grace, charity, moral transformation, and historical credibility that defeat that charge?",con,Marvin Olasky,Christopher Hitchens,82,80,closed,2,81.5085248234426
25,hitchens-ramadan-islam-peace-2010,Christopher Hitchens vs Tariq Ramadan: Is Islam a Religion of Peace?,Islam as peace or power,"Is Islam a religion of peace, or do its claims, institutions, and enforcement patterns make that description untenable?",pro,Christopher Hitchens,Tariq Ramadan,80,82,closed,-2,79.5085248234426
25,hitchens-ramadan-islam-peace-2010,Christopher Hitchens vs Tariq Ramadan: Is Islam a Religion of Peace?,Islam as peace or power,"Is Islam a religion of peace, or do its claims, institutions, and enforcement patterns make that description untenable?",con,Tariq Ramadan,Christopher Hitchens,82,80,closed,2,81.5085248234426
26,turek-hitchens-reality-theism-atheism-2011,Frank Turek vs Christopher Hitchens: What Best Explains Reality?,"Reality, theism, and atheism","What best explains reality: theism, with a personal creator and revelation, or atheism, with no supernatural dimension?",pro,Frank Turek,Christopher Hitchens,74,83,closed,-9,73.5085248234426
26,turek-hitchens-reality-theism-atheism-2011,Frank Turek vs Christopher Hitchens: What Best Explains Reality?,"Reality, theism, and atheism","What best explains reality: theism, with a personal creator and revelation, or atheism, with no supernatural dimension?",con,Christopher Hitchens,Frank Turek,83,74,closed,9,82.5085248234426
27,oconnor-turek-evil-moral-argument-2017,Alex O'Connor vs Frank Turek: The Moral Argument Debate,Evil and moral objectivity,"Does evil and objective morality point to God, or can agnostic atheism explain moral experience without accepting a divine moral ground?",pro,Frank Turek,Alex O'Connor,76,87,closed,-11,75.5085248234426
27,oconnor-turek-evil-moral-argument-2017,Alex O'Connor vs Frank Turek: The Moral Argument Debate,Evil and moral objectivity,"Does evil and objective morality point to God, or can agnostic atheism explain moral experience without accepting a divine moral ground?",con,Alex O'Connor,Frank Turek,87,76,closed,11,86.5085248234426
28,turek-shermer-reality-theism-atheism-2018,Frank Turek vs Michael Shermer: What Best Explains Reality?,"Reality, evidence, and skepticism","What best explains reality: theism grounded in God as the cause of creation, reason, information, morality, evil, and science, or skeptical naturalism grounded in evidence and scientific inquiry?",pro,Frank Turek,Michael Shermer,72,83,closed,-11,71.5085248234426
28,turek-shermer-reality-theism-atheism-2018,Frank Turek vs Michael Shermer: What Best Explains Reality?,"Reality, evidence, and skepticism","What best explains reality: theism grounded in God as the cause of creation, reason, information, morality, evil, and science, or skeptical naturalism grounded in evidence and scientific inquiry?",con,Michael Shermer,Frank Turek,83,72,closed,11,82.5085248234426
29,turek-silverman-reality-theism-atheism-2013,Frank Turek vs David Silverman: Which Better Explains Reality?,Reality and moral responsibility,"Which better explains reality: theism, with God as the ground of creation, reason, information, morality, evil, and science, or atheism, with natural inquiry and human responsibility?",pro,Frank Turek,David Silverman,77,78,closed,-1,76.5085248234426
29,turek-silverman-reality-theism-atheism-2013,Frank Turek vs David Silverman: Which Better Explains Reality?,Reality and moral responsibility,"Which better explains reality: theism, with God as the ground of creation, reason, information, morality, evil, and science, or atheism, with natural inquiry and human responsibility?",con,David Silverman,Frank Turek,78,77,closed,1,77.5085248234426
30,lowder-turek-naturalism-theism-2016,Jeffery Jay Lowder vs Frank Turek: Naturalism or Theism?,Naturalism and explanatory balance,"What better explains reality: naturalism, where the physical explains the mental, or theism, where God grounds creation, reason, information, morality, evil, and science?",pro,Jeffery Jay Lowder,Frank Turek,85,70,closed,15,84.5085248234426
30,lowder-turek-naturalism-theism-2016,Jeffery Jay Lowder vs Frank Turek: Naturalism or Theism?,Naturalism and explanatory balance,"What better explains reality: naturalism, where the physical explains the mental, or theism, where God grounds creation, reason, information, morality, evil, and science?",con,Frank Turek,Jeffery Jay Lowder,70,85,closed,-15,69.5085248234426
31,oconnor-craig-resurrection-2023,Alex O'Connor vs William Lane Craig: Did Jesus Rise From the Dead?,Resurrection and historical evidence,"Does the historical evidence make Jesus' resurrection the best explanation of the facts, or should skeptical alternatives and evidential caution prevent that conclusion?",pro,William Lane Craig,Alex O'Connor,86,88,closed,-2,85.5085248234426
31,oconnor-craig-resurrection-2023,Alex O'Connor vs William Lane Craig: Did Jesus Rise From the Dead?,Resurrection and historical evidence,"Does the historical evidence make Jesus' resurrection the best explanation of the facts, or should skeptical alternatives and evidential caution prevent that conclusion?",con,Alex O'Connor,William Lane Craig,88,86,closed,2,87.5085248234426
33,craig-carroll-god-cosmology-2014,William Lane Craig vs Sean Carroll: God and Cosmology,God and cosmological models,"Does contemporary cosmology make God's existence more probable, or do naturalistic cosmological models better explain the universe without theism?",pro,William Lane Craig,Sean Carroll,83,90,closed,-7,82.5085248234426
33,craig-carroll-god-cosmology-2014,William Lane Craig vs Sean Carroll: God and Cosmology,God and cosmological models,"Does contemporary cosmology make God's existence more probable, or do naturalistic cosmological models better explain the universe without theism?",con,Sean Carroll,William Lane Craig,90,83,closed,7,89.5085248234426
34,goff-carroll-consciousness-fundamental-2023,Philip Goff vs Sean Carroll: Is Consciousness Fundamental?,Consciousness and physicalism,"Is consciousness a fundamental feature of reality, or can physicalism explain conscious experience through higher-level descriptions of the physical world?",pro,Philip Goff,Sean Carroll,84,84,closed,0,83.5085248234426
34,goff-carroll-consciousness-fundamental-2023,Philip Goff vs Sean Carroll: Is Consciousness Fundamental?,Consciousness and physicalism,"Is consciousness a fundamental feature of reality, or can physicalism explain conscious experience through higher-level descriptions of the physical world?",con,Sean Carroll,Philip Goff,84,84,closed,0,83.5085248234426
36,carroll-halvorson-metaphysics-worldview-2016,Sean Carroll vs Hans Halvorson: Metaphysics,Metaphysics and scientific worldview,"How should scientific knowledge be integrated into naturalist and theistic worldviews, and do cosmology, fine-tuning, quantum mechanics, consciousness, morality, and meaning favor either metaphysical picture?",pro,Sean Carroll,Hans Halvorson,84,87,closed,-3,83.5085248234426
36,carroll-halvorson-metaphysics-worldview-2016,Sean Carroll vs Hans Halvorson: Metaphysics,Metaphysics and scientific worldview,"How should scientific knowledge be integrated into naturalist and theistic worldviews, and do cosmology, fine-tuning, quantum mechanics, consciousness, morality, and meaning favor either metaphysical picture?",con,Hans Halvorson,Sean Carroll,87,84,closed,3,86.5085248234426
37,ehrman-bass-resurrection-history-2023,Bart Ehrman vs Justin Bass: Did Jesus of Nazareth Rise From the Dead?,Resurrection and historical method,"Did Jesus of Nazareth historically rise from the dead, and do the early resurrection appearances, the unexpected messianic claim, Christianity's spread, and later visions make that explanation plausible?",pro,Justin Bass,Bart Ehrman,78,88,closed,-10,77.5085248234426
37,ehrman-bass-resurrection-history-2023,Bart Ehrman vs Justin Bass: Did Jesus of Nazareth Rise From the Dead?,Resurrection and historical method,"Did Jesus of Nazareth historically rise from the dead, and do the early resurrection appearances, the unexpected messianic claim, Christianity's spread, and later visions make that explanation plausible?",con,Bart Ehrman,Justin Bass,88,78,closed,10,87.5085248234426
38,mcdowell-ehrman-moral-objectivity-2026,"Sean McDowell vs Bart Ehrman: The Moral Argument, Guilt, and the Teachings of Jesus",Moral objectivity and Christian ethics,"Do Jesus' teachings and the West's moral transformation point to objective moral truths grounded beyond human preference, or can morality be explained as historically shaped human inclination without divine grounding?",pro,Sean McDowell,Bart Ehrman,86,82,closed,4,85.5085248234426
38,mcdowell-ehrman-moral-objectivity-2026,"Sean McDowell vs Bart Ehrman: The Moral Argument, Guilt, and the Teachings of Jesus",Moral objectivity and Christian ethics,"Do Jesus' teachings and the West's moral transformation point to objective moral truths grounded beyond human preference, or can morality be explained as historically shaped human inclination without divine grounding?",con,Bart Ehrman,Sean McDowell,82,86,closed,-4,81.5085248234426
39,lambert-jones-christian-faith-skepticism-2021,Derek Lambert vs Michael Jones: Atheist and Christian Discussion,Christian faith and skeptical inquiry,"Can Christian belief be rationally sustained amid skeptical challenges about faith, hell, resurrection evidence, biblical reliability, religious experience, the Exodus, and parallels with other ancient traditions?",pro,Michael Jones,Derek Lambert,79,81,closed,-2,78.5085248234426
39,lambert-jones-christian-faith-skepticism-2021,Derek Lambert vs Michael Jones: Atheist and Christian Discussion,Christian faith and skeptical inquiry,"Can Christian belief be rationally sustained amid skeptical challenges about faith, hell, resurrection evidence, biblical reliability, religious experience, the Exodus, and parallels with other ancient traditions?",con,Derek Lambert,Michael Jones,81,79,closed,2,80.5085248234426
40,enoch-bush-objective-moral-truths-2026,David Enoch vs Lance Bush: Are There Objective Moral Truths?,Moral realism and anti-realism,"Are there objective moral truths, and does moral realism or global normative anti-realism better explain ordinary moral judgment, deliberation, language, and disagreement?",pro,David Enoch,Lance Bush,85,84,closed,1,84.5085248234426
40,enoch-bush-objective-moral-truths-2026,David Enoch vs Lance Bush: Are There Objective Moral Truths?,Moral realism and anti-realism,"Are there objective moral truths, and does moral realism or global normative anti-realism better explain ordinary moral judgment, deliberation, language, and disagreement?",con,Lance Bush,David Enoch,84,85,closed,-1,83.5085248234426
41,huemer-bush-objective-moral-facts-2024,Michael Huemer vs Lance Bush: Do Objective Moral Facts Exist?,Objective moral facts and intuitionism,"Do objective moral facts exist, and can ethical intuitionism establish moral realism against anti-realist quietism, folk metaethical indeterminacy, and language-use objections?",pro,Michael Huemer,Lance Bush,85,83,closed,2,84.5085248234426
41,huemer-bush-objective-moral-facts-2024,Michael Huemer vs Lance Bush: Do Objective Moral Facts Exist?,Objective moral facts and intuitionism,"Do objective moral facts exist, and can ethical intuitionism establish moral realism against anti-realist quietism, folk metaethical indeterminacy, and language-use objections?",con,Lance Bush,Michael Huemer,83,85,closed,-2,82.5085248234426
42,schmid-tomaszewski-divine-simplicity-2020,Joe Schmid vs Chris Tomaszewski: Is Divine Simplicity True?,Divine simplicity and classical theism,"Is divine simplicity, understood as God's absence of real intrinsic parts or composition, coherent with classical theism, Trinitarian doctrine, divine freedom, and omniscient knowledge of contingent reality?",pro,Christopher Tomaszewski,Joseph Schmid,86,87,closed,-1,85.5085248234426
42,schmid-tomaszewski-divine-simplicity-2020,Joe Schmid vs Chris Tomaszewski: Is Divine Simplicity True?,Divine simplicity and classical theism,"Is divine simplicity, understood as God's absence of real intrinsic parts or composition, coherent with classical theism, Trinitarian doctrine, divine freedom, and omniscient knowledge of contingent reality?",con,Joseph Schmid,Christopher Tomaszewski,87,86,closed,1,86.5085248234426
43,meyer-halper-cosmology-fine-tuning-2026,Stephen Meyer vs Phil Halper: The Big Bang and Fine-Tuning,Big Bang fine-tuning and design,"Does modern cosmology, especially Big Bang evidence and cosmic fine-tuning, make theism or intelligent design a better explanation than naturalistic early-universe models?",pro,Stephen Meyer,Phil Halper,79,90,closed,-11,78.5085248234426
43,meyer-halper-cosmology-fine-tuning-2026,Stephen Meyer vs Phil Halper: The Big Bang and Fine-Tuning,Big Bang fine-tuning and design,"Does modern cosmology, especially Big Bang evidence and cosmic fine-tuning, make theism or intelligent design a better explanation than naturalistic early-universe models?",con,Phil Halper,Stephen Meyer,90,79,closed,11,89.5085248234426
44,oconnor-biddle-free-will-2025,Alex O'Connor vs Craig Biddle: Free Will - Do You Have It?,Free will and agent causation,"Do human beings have free will, either as ultimate control over action or as a volitional capacity to focus and use reason?",pro,Craig Biddle,Alex O'Connor,77,82,closed,-5,76.5085248234426
44,oconnor-biddle-free-will-2025,Alex O'Connor vs Craig Biddle: Free Will - Do You Have It?,Free will and agent causation,"Do human beings have free will, either as ultimate control over action or as a volitional capacity to focus and use reason?",con,Alex O'Connor,Craig Biddle,82,77,closed,5,81.5085248234426
46,shapiro-oconnor-atheist-delusion-society-2023,"Ben Shapiro vs Alex O'Connor: The Atheist Delusion, Free Will, and Society","Atheism, free will, and social order","Does atheism depend on borrowed religious or extra-natural assumptions about free will, morality, reason, and social order, or can secular life face the truth without religious scaffolding?",pro,Ben Shapiro,Alex O'Connor,71,87,closed,-16,70.5085248234426
46,shapiro-oconnor-atheist-delusion-society-2023,"Ben Shapiro vs Alex O'Connor: The Atheist Delusion, Free Will, and Society","Atheism, free will, and social order","Does atheism depend on borrowed religious or extra-natural assumptions about free will, morality, reason, and social order, or can secular life face the truth without religious scaffolding?",con,Alex O'Connor,Ben Shapiro,87,71,closed,16,86.5085248234426
47,jones-krauss-christianity-secular-ethics-2025,Michael Jones vs Lawrence Krauss: Christianity or Secular Ethics - What's Best for Society?,Christian social goods and secular inquiry,"Which is better for society: Christianity, understood as a Christian-value society with a largely Christian population, or secular ethics?",pro,Michael Jones,Lawrence Krauss,79,76,closed,3,78.5085248234426
47,jones-krauss-christianity-secular-ethics-2025,Michael Jones vs Lawrence Krauss: Christianity or Secular Ethics - What's Best for Society?,Christian social goods and secular inquiry,"Which is better for society: Christianity, understood as a Christian-value society with a largely Christian population, or secular ethics?",con,Lawrence Krauss,Michael Jones,76,79,closed,-3,75.5085248234426
48,scrivener-folley-hiddenness-evil-moral-narrative-2025,"Glen Scrivener vs Joe Folley: Morality, Evil, Consciousness, and Christian Narrative","Hiddenness, evil, and moral narrative","Does Christian theism better account for hiddenness, evil, consciousness, morality, and moral progress than agnostic or naturalistic alternatives?",pro,Glen Scrivener,Joe Folley,74,84,closed,-10,73.5085248234426
48,scrivener-folley-hiddenness-evil-moral-narrative-2025,"Glen Scrivener vs Joe Folley: Morality, Evil, Consciousness, and Christian Narrative","Hiddenness, evil, and moral narrative","Does Christian theism better account for hiddenness, evil, consciousness, morality, and moral progress than agnostic or naturalistic alternatives?",con,Joe Folley,Glen Scrivener,84,74,closed,10,83.5085248234426
49,dyer-dillahunty-transcendental-theism-2019,Jay Dyer vs Matt Dillahunty: Transcendental Argument for Theism,Transcendental theism and logic,"Does the transcendental argument show that Orthodox Christian theism is needed to ground logic, truth, induction, ethics, and knowledge?",pro,Jay Dyer,Matt Dillahunty,76,89,closed,-13,75.5085248234426
49,dyer-dillahunty-transcendental-theism-2019,Jay Dyer vs Matt Dillahunty: Transcendental Argument for Theism,Transcendental theism and logic,"Does the transcendental argument show that Orthodox Christian theism is needed to ground logic, truth, induction, ethics, and knowledge?",con,Matt Dillahunty,Jay Dyer,89,76,closed,13,88.5085248234426
50,knechtle-dillahunty-christianity-true-2023,Cliffe Knechtle vs Matt Dillahunty: Is Christianity True?,"Christianity, resurrection, and evidence","Is Christianity true, and do the Gospels, resurrection claims, moral meaning, and human value give sufficient warrant for Christian faith?",pro,Cliffe Knechtle,Matt Dillahunty,73,90,closed,-17,72.5085248234426
50,knechtle-dillahunty-christianity-true-2023,Cliffe Knechtle vs Matt Dillahunty: Is Christianity True?,"Christianity, resurrection, and evidence","Is Christianity true, and do the Gospels, resurrection claims, moral meaning, and human value give sufficient warrant for Christian faith?",con,Matt Dillahunty,Cliffe Knechtle,90,73,closed,17,89.5085248234426
51,lennox-atkins-duelling-professors-2012,John Lennox vs Peter Atkins: Duelling Professors on Science and God,"Design, DNA, and naturalism","Do science, design, DNA, natural law, morality, and human experience point toward Christian theism or toward an atheistic naturalist account?",pro,John Lennox,Peter Atkins,79,72,closed,7,78.5085248234426
