number,id,title,included,reason,theist_side,theist_label,theist_speaker,non_theist_side,non_theist_label,non_theist_speaker,theist_score,non_theist_score,margin_non_theist_minus_theist
30,lowder-turek-naturalism-theism-2016,Jeffery Jay Lowder vs Frank Turek: Naturalism or Theism?,True,one published theistic/religious side and one published non-theistic/skeptical side,con,Theism explains reality,Frank Turek,pro,Naturalism explains reality,Jeffery Jay Lowder,70,85,15
31,oconnor-craig-resurrection-2023,Alex O'Connor vs William Lane Craig: Did Jesus Rise From the Dead?,True,one published theistic/religious side and one published non-theistic/skeptical side,pro,Resurrection case,William Lane Craig,con,Historical skepticism,Alex O'Connor,86,88,2
33,craig-carroll-god-cosmology-2014,William Lane Craig vs Sean Carroll: God and Cosmology,True,one published theistic/religious side and one published non-theistic/skeptical side,pro,Theistic cosmology,William Lane Craig,con,Naturalistic cosmology,Sean Carroll,83,90,7
34,goff-carroll-consciousness-fundamental-2023,Philip Goff vs Sean Carroll: Is Consciousness Fundamental?,False,no position-level theist-vs-non-theist comparison,,,,,,,,,
36,carroll-halvorson-metaphysics-worldview-2016,Sean Carroll vs Hans Halvorson: Metaphysics,True,one published theistic/religious side and one published non-theistic/skeptical side,con,Theist,Hans Halvorson,pro,Naturalist,Sean Carroll,87,84,-3
37,ehrman-bass-resurrection-history-2023,Bart Ehrman vs Justin Bass: Did Jesus of Nazareth Rise From the Dead?,True,one published theistic/religious side and one published non-theistic/skeptical side,pro,Resurrection defender,Justin Bass,con,Skeptical historian,Bart Ehrman,78,88,10
38,mcdowell-ehrman-moral-objectivity-2026,"Sean McDowell vs Bart Ehrman: The Moral Argument, Guilt, and the Teachings of Jesus",False,no position-level theist-vs-non-theist comparison,,,,,,,,,
39,lambert-jones-christian-faith-skepticism-2021,Derek Lambert vs Michael Jones: Atheist and Christian Discussion,True,one published theistic/religious side and one published non-theistic/skeptical side,pro,Believer,Michael Jones,con,Non-believer,Derek Lambert,79,81,2
40,enoch-bush-objective-moral-truths-2026,David Enoch vs Lance Bush: Are There Objective Moral Truths?,False,no position-level theist-vs-non-theist comparison,,,,,,,,,
41,huemer-bush-objective-moral-facts-2024,Michael Huemer vs Lance Bush: Do Objective Moral Facts Exist?,False,no position-level theist-vs-non-theist comparison,,,,,,,,,
42,schmid-tomaszewski-divine-simplicity-2020,Joe Schmid vs Chris Tomaszewski: Is Divine Simplicity True?,True,one published theistic/religious side and one published non-theistic/skeptical side,pro,Classical theist,Chris Tomaszewski,con,Agnostic critic,Joe Schmid,86,87,1
43,meyer-halper-cosmology-fine-tuning-2026,Stephen Meyer vs Phil Halper: The Big Bang and Fine-Tuning,True,one published theistic/religious side and one published non-theistic/skeptical side,pro,Design theist,Stephen Meyer,con,Cosmology skeptic,Phil Halper,79,90,11
44,oconnor-biddle-free-will-2025,Alex O'Connor vs Craig Biddle: Free Will - Do You Have It?,False,no position-level theist-vs-non-theist comparison,,,,,,,,,
46,shapiro-oconnor-atheist-delusion-society-2023,"Ben Shapiro vs Alex O'Connor: The Atheist Delusion, Free Will, and Society",True,one published theistic/religious side and one published non-theistic/skeptical side,pro,Religious social order,Ben Shapiro,con,Secular skeptical critique,Alex O'Connor,71,87,16
47,jones-krauss-christianity-secular-ethics-2025,Michael Jones vs Lawrence Krauss: Christianity or Secular Ethics - What's Best for Society?,True,one published theistic/religious side and one published non-theistic/skeptical side,pro,Christian society,Michael Jones,con,Secular ethics,Lawrence Krauss,79,76,-3
48,scrivener-folley-hiddenness-evil-moral-narrative-2025,"Glen Scrivener vs Joe Folley: Morality, Evil, Consciousness, and Christian Narrative",True,one published theistic/religious side and one published non-theistic/skeptical side,pro,Christian theism,Glen Scrivener,con,Agnostic philosophy,Joe Folley,74,84,10
49,dyer-dillahunty-transcendental-theism-2019,Jay Dyer vs Matt Dillahunty: Transcendental Argument for Theism,True,one published theistic/religious side and one published non-theistic/skeptical side,pro,Orthodox theism,Jay Dyer,con,Skeptical atheism,Matt Dillahunty,76,89,13
50,knechtle-dillahunty-christianity-true-2023,Cliffe Knechtle vs Matt Dillahunty: Is Christianity True?,True,one published theistic/religious side and one published non-theistic/skeptical side,pro,Christianity is true,Cliffe Knechtle,con,Skeptical atheism,Matt Dillahunty,73,90,17
51,lennox-atkins-duelling-professors-2012,John Lennox vs Peter Atkins: Duelling Professors on Science and God,True,one published theistic/religious side and one published non-theistic/skeptical side,pro,Christian theism,John Lennox,con,Scientific atheism,Peter Atkins,79,72,-7
52,horn-dillahunty-resurrection-reasonable-2021,Trent Horn vs Matt Dillahunty: Is Belief in the Resurrection Reasonable?,True,one published theistic/religious side and one published non-theistic/skeptical side,pro,Resurrection belief is reasonable,Trent Horn,con,Resurrection belief is unreasonable,Matt Dillahunty,82,83,1
53,oconnor-dsouza-bible-true-2024,Alex O'Connor vs Dinesh D'Souza: Is the Bible True?,True,one published theistic/religious side and one published non-theistic/skeptical side,pro,Bible as true revelation,Dinesh D'Souza,con,Biblical skepticism,Alex O'Connor,76,91,15
54,jones-law-christianity-humanism-future-2025,Michael Jones vs Stephen Law: Christianity vs Humanism,True,one published theistic/religious side and one published non-theistic/skeptical side,pro,Christianity offers the brighter future,Michael Jones,con,Humanism offers the brighter future,Stephen Law,72,81,9
55,craig-malpass-kalam-nothing-2026,William Lane Craig vs Alex Malpass: Can Something Come From Nothing?,True,one published theistic/religious side and one published non-theistic/skeptical side,pro,Kalam defender,William Lane Craig,con,Kalam critic,Alex Malpass,75,91,16
56,huemer-lutz-morality-real-2026,Mike Huemer vs Matt Lutz: Is Morality Real?,False,no position-level theist-vs-non-theist comparison,,,,,,,,,
57,scrivener-dillahunty-atheism-morality-2020,Glen Scrivener vs Matt Dillahunty: Can Atheism Deliver a Better World?,True,one published theistic/religious side and one published non-theistic/skeptical side,pro,Christian moral foundation,Glen Scrivener,con,Secular humanism,Matt Dillahunty,77,86,9
58,dillahunty-slick-secular-humanism-christianity-2016,Matt Dillahunty vs Matt Slick: Is Secular Humanism Superior to Christianity?,True,one published theistic/religious side and one published non-theistic/skeptical side,con,Christian foundations,Matt Slick,pro,Secular humanism,Matt Dillahunty,74,82,8
59,bollore-halper-god-science-evidence-2026,Michel-Yves Bollore vs Phil Halper: Does Science Point to God?,True,one published theistic/religious side and one published non-theistic/skeptical side,pro,Christian theism,Michel-Yves Bollore,con,Scientific skepticism,Phil Halper,69,88,19
60,horn-oconnor-jesus-resurrection-2026,Trent Horn vs Alex O'Connor: Did Jesus Rise From the Dead?,True,one published theistic/religious side and one published non-theistic/skeptical side,pro,Resurrection case,Trent Horn,con,Historical skepticism,Alex O'Connor,78,86,8
61,scrivener-oconnor-morality-bible-slavery-2026,"Glen Scrivener vs Alex O'Connor: Morality, Freedom, Slavery, and the Bible",True,one published theistic/religious side and one published non-theistic/skeptical side,pro,Christian moral genealogy,Glen Scrivener,con,Secular moral critique,Alex O'Connor,81,89,8
62,pageau-folley-logos-meaning-resurrection-2026,"Jonathan Pageau vs Joe Folley: Genesis, Jesus, Science, and Faith",True,one published theistic/religious side and one published non-theistic/skeptical side,pro,Symbolic theism,Jonathan Pageau,con,Atheist pragmatism,Joe Folley,76,88,12
63,butt-shermer-god-bible-2023,Kyle Butt vs Michael Shermer: Does the God of the Bible Exist?,True,one published theistic/religious side and one published non-theistic/skeptical side,pro,Biblical theism,Kyle Butt,con,Skeptical naturalism,Michael Shermer,71,86,15
64,pine-watkins-god-existence-2020,Gregory Pine vs Ben Watkins: Does God Exist?,True,one published theistic/religious side and one published non-theistic/skeptical side,pro,Thomistic theism,Gregory Pine,con,Analytic atheism,Ben Watkins,79,86,7
65,donahue-malpass-fine-tuning-god-2026,Miles K. Donahue vs Alex Malpass: Does Fine-Tuning Point to God?,True,one published theistic/religious side and one published non-theistic/skeptical side,pro,Fine-tuning theism,Miles K. Donahue,con,Naturalistic skepticism,Alex Malpass,79,80,1
66,donahue-fodor-case-against-christianity-2025,Miles K. Donahue vs James Fodor: The Case Against Christianity,True,one published theistic/religious side and one published non-theistic/skeptical side,pro,Reflective Christianity,Miles K. Donahue,con,Skeptical atheism,James Fodor,81,83,2
67,jones-fodor-digital-physics-god-2021,Michael Jones vs James Fodor: The Digital Physics Argument for God,True,one published theistic/religious side and one published non-theistic/skeptical side,pro,Theistic idealism,Michael Jones,con,Materialist realism,James Fodor,71,87,16
68,jones-dillahunty-quantum-idealism-demonstrability-2026,Michael Jones vs Matt Dillahunty: Quantum Idealism and Demonstrability,True,one published theistic/religious side and one published non-theistic/skeptical side,pro,Theistic idealism,Michael Jones,con,Demonstrability critique,Matt Dillahunty,69,86,17
69,winger-dillahunty-resurrection-unreasonable-2019,Mike Winger vs Matt Dillahunty: Is Belief in the Resurrection Unreasonable?,True,one published theistic/religious side and one published non-theistic/skeptical side,pro,Resurrection defense,Mike Winger,con,Skeptical burden test,Matt Dillahunty,80,86,6
70,malpass-anderson-logic-god-2021,Alex Malpass vs James Anderson: Does Logic Prove God?,True,one published theistic/religious side and one published non-theistic/skeptical side,pro,Divine conceptualism,James Anderson,con,Platonist critique,Alex Malpass,86,82,-4
72,dyer-malpass-tag-argument-2019,Jay Dyer vs Alex Malpass: The TAG Argument,True,one published theistic/religious side and one published non-theistic/skeptical side,pro,Orthodox TAG,Jay Dyer,con,Analytic critique,Alex Malpass,74,91,17
73,hawkins-folley-free-will-compatibilism-2026,Nathan Hawkins vs Joe Folley: Do We Really Have Free Will?,False,no position-level theist-vs-non-theist comparison,,,,,,,,,
74,rasmussen-malpass-suffering-causal-finitism-2021,"Josh Rasmussen vs Alex Malpass: Suffering, Theism, and Causal Finitism",True,one published theistic/religious side and one published non-theistic/skeptical side,pro,Theistic modal defense,Josh Rasmussen,con,Analytic evidential critique,Alex Malpass,82,89,7
75,rasmussen-clifton-contingency-argument-2019,Josh Rasmussen vs Scott Clifton: Is the Contingency Argument Persuasive?,True,one published theistic/religious side and one published non-theistic/skeptical side,pro,Necessary-foundation theist,Josh Rasmussen,con,Brute-foundation skeptic,Scott Clifton,79,87,8
76,craig-oppy-mathematics-theism-2020,William Lane Craig vs Graham Oppy: Does Math Point to God?,True,one published theistic/religious side and one published non-theistic/skeptical side,pro,Theistic mathematical explanation,William Lane Craig,con,Naturalistic necessity critique,Graham Oppy,81,84,3
77,feser-oppy-arguments-for-god-2020,Ed Feser vs Graham Oppy: Are There Any Good Arguments for God?,True,one published theistic/religious side and one published non-theistic/skeptical side,pro,Aristotelian theist,Ed Feser,con,Theory-comparison skeptic,Graham Oppy,86,81,-5
78,albrecht-oppy-resurrection-ancient-christianity-2023,William Albrecht vs Graham Oppy: Resurrection and Ancient Christianity,True,one published theistic/religious side and one published non-theistic/skeptical side,pro,Catholic resurrection case,William Albrecht,con,Historical skepticism,Graham Oppy,76,83,7
79,swinburne-oppy-theism-probability-2022,Richard Swinburne vs Graham Oppy: Is Theism Probable?,True,one published theistic/religious side and one published non-theistic/skeptical side,pro,Probabilistic theism,Richard Swinburne,con,Comparative naturalism,Graham Oppy,80,85,5
80,rasmussen-schmid-argument-from-limits-2023,Josh Rasmussen vs Joe Schmid: The Argument from Limits,True,one published theistic/religious side and one published non-theistic/skeptical side,pro,Limits argument,Josh Rasmussen,con,Agnostic theory comparison,Joe Schmid,84,90,6
81,rasmussen-oppy-ultimate-reality-naturalism-2020,"Josh Rasmussen vs Graham Oppy: Theism, Naturalism, and Ultimate Reality",True,one published theistic/religious side and one published non-theistic/skeptical side,pro,Theistic supremacy,Josh Rasmussen,con,Naturalistic comparison,Graham Oppy,81,85,4
82,bush-mcallister-moral-anti-realism-realism-2025,Lance Bush vs Derek McAllister: Moral Anti-Realism vs Realism,False,no position-level theist-vs-non-theist comparison,,,,,,,,,
83,loke-oppy-kalam-causal-principle-2020,Andrew Loke vs Graham Oppy: Is the Kalam Sound?,True,one published theistic/religious side and one published non-theistic/skeptical side,pro,Reformulated Kalam,Andrew Loke,con,Naturalist theory comparison,Graham Oppy,74,86,12
85,atkins-fox-god-science-future-humanity-2024,Peter Atkins vs Keith Fox: God vs Science Debate,True,one published theistic/religious side and one published non-theistic/skeptical side,con,Christian theism,Keith Fox,pro,Scientific materialism,Peter Atkins,85,70,-15
86,egnor-dillahunty-god-existence-2021,Michael Egnor vs Matt Dillahunty: Does God Exist?,True,one published theistic/religious side and one published non-theistic/skeptical side,pro,Thomistic theism,Michael Egnor,con,Skeptical atheism,Matt Dillahunty,71,83,12
87,christopoulos-dillahunty-resurrection-historical-event-2024,Than Christopoulos vs Matt Dillahunty: Is the Resurrection a Historical Event?,True,one published theistic/religious side and one published non-theistic/skeptical side,pro,Resurrection historicity,Than Christopoulos,con,Skeptical naturalism,Matt Dillahunty,79,88,9
88,sechler-dillahunty-perfect-mind-universe-2022,Zac Sechler vs Matt Dillahunty: Did a Perfect Mind Create the Universe?,True,one published theistic/religious side and one published non-theistic/skeptical side,pro,Perfect-mind theism,Zac Sechler,con,Evidential skepticism,Matt Dillahunty,79,83,4
89,bignon-oppy-religious-experience-god-2022,Guillaume Bignon vs Graham Oppy: Religious Experience and the Case for God,True,one published theistic/religious side and one published non-theistic/skeptical side,pro,Religious-experience case,Guillaume Bignon,con,Naturalist caution,Graham Oppy,82,87,5
90,akin-ehrman-gospels-historically-reliable-2022,Jimmy Akin vs Bart Ehrman: Are the Gospels Historically Reliable?,True,one published theistic/religious side and one published non-theistic/skeptical side,pro,Gospel reliability,Jimmy Akin,con,Historical unreliability,Bart Ehrman,81,88,7
91,cutter-oppy-mind-brain-harmony-god-2025,Brian Cutter vs Graham Oppy: Does Mind-Brain Harmony Point to God?,True,one published theistic/religious side and one published non-theistic/skeptical side,pro,Harmony theism,Brian Cutter,con,Identity naturalism,Graham Oppy,85,85,0
92,craig-malpass-universe-begin-exist-2020,William Lane Craig vs Alex Malpass: Did the Universe Begin to Exist?,True,one published theistic/religious side and one published non-theistic/skeptical side,pro,Kalam beginning case,William Lane Craig,con,Infinity critique,Alex Malpass,79,90,11
93,hunter-dillahunty-christian-god-exist-2019,Braxton Hunter vs Matt Dillahunty: Does the Christian God Exist?,True,one published theistic/religious side and one published non-theistic/skeptical side,pro,Christian cumulative case,Braxton Hunter,con,Evidential skepticism,Matt Dillahunty,77,86,9
94,swinburne-huemer-theism-coherent-2026,Richard Swinburne vs Michael Huemer: Is Theism Coherent?,True,one published theistic/religious side and one published non-theistic/skeptical side,pro,Coherent theism,Richard Swinburne,con,Incoherence critique,Michael Huemer,75,83,8
97,holland-grayling-christianity-human-values-2019,Tom Holland vs A. C. Grayling: Did Christianity Give Us Our Human Values?,True,one published theistic/religious side and one published non-theistic/skeptical side,pro,Christian inheritance,Tom Holland,con,Classical humanism,A. C. Grayling,78,84,6
98,craig-grayling-evil-god-reasonable-2011,William Lane Craig vs A. C. Grayling: Is Belief in God Reasonable in Light of Evil?,True,one published theistic/religious side and one published non-theistic/skeptical side,pro,Theistic reasonableness,William Lane Craig,con,Secular objection,A. C. Grayling,84,86,2
99,jones-jump-digital-physics-god-2019,Michael Jones vs Tom Jump: Does God Exist?,True,one published theistic/religious side and one published non-theistic/skeptical side,pro,Theistic idealism,Michael Jones,con,Naturalistic pantheism,Tom Jump,76,80,4
100,jones-dillahunty-emergent-mind-god-2020,Michael Jones vs Matt Dillahunty: Reason to Believe in God?,True,one published theistic/religious side and one published non-theistic/skeptical side,pro,Theistic idealism,Michael Jones,con,Evidential skepticism,Matt Dillahunty,73,91,18
101,woodford-scrivener-religion-poisons-everything-2026,Stephen Woodford vs Glen Scrivener: Does Religion Poison Everything?,True,one published theistic/religious side and one published non-theistic/skeptical side,con,Christian humanism,Glen Scrivener,pro,Religion poisons,Stephen Woodford,80,83,3
102,woodford-brierley-christianity-rational-2019,Stephen Woodford vs Justin Brierley: Is Christianity Rational?,True,one published theistic/religious side and one published non-theistic/skeptical side,con,Christian rationality,Justin Brierley,pro,Christianity irrational,Stephen Woodford,77,82,5
103,woodford-edwards-rational-belief-god-2023,Stephen Woodford vs Simon Edwards: Is It Rational to Believe in God?,True,one published theistic/religious side and one published non-theistic/skeptical side,con,Rational theism,Simon Edwards,pro,Theism irrational,Stephen Woodford,78,82,4
104,oconnor-baker-hytch-argument-from-reason-2020,Alex O'Connor vs Max Baker-Hytch: The Argument for God From Reason,True,one published theistic/religious side and one published non-theistic/skeptical side,pro,Reason beyond naturalism,Max Baker-Hytch,con,Naturalistic reason,Alex O'Connor,84,82,-2
106,peterson-blackmore-god-meaning-life-2018,Jordan Peterson vs Susan Blackmore: Do We Need God to Make Sense of Life?,True,one published theistic/religious side and one published non-theistic/skeptical side,pro,Religious pragmatism,Jordan Peterson,con,Memetic atheism,Susan Blackmore,74,85,11
107,lennox-ruse-science-faith-evidence-god-2018,"John Lennox vs Michael Ruse: Science, Faith, and the Evidence for God",True,one published theistic/religious side and one published non-theistic/skeptical side,pro,Evidential Christian theism,John Lennox,con,Conservative nonbelief,Michael Ruse,79,85,6
108,ward-ruse-mind-consciousness-god-2013,"Keith Ward vs Michael Ruse: Mind, Consciousness, and God",True,one published theistic/religious side and one published non-theistic/skeptical side,pro,Mind-first theism,Keith Ward,con,Agnostic naturalism,Michael Ruse,80,82,2
109,mclatchie-oconnor-theism-naturalism-reality-2022,Jonathan McLatchie vs Alex O'Connor: Theism or Naturalism?,True,one published theistic/religious side and one published non-theistic/skeptical side,pro,Christian theism,Jonathan McLatchie,con,Atheistic naturalism,Alex O'Connor,74,83,9
110,tour-garte-evolution-agency-christian-faith-2025,"James Tour vs Sy Garte: Evolution, Agency, and Christian Faith",False,both published sides are theistic/religious,,,,,,,,,
111,tour-farina-origin-life-cluelessness-2023,Dave Farina vs James Tour: Are We Clueless About the Origin of Life?,False,no position-level theist-vs-non-theist comparison,,,,,,,,,
112,copan-woodford-belief-god-reasonable-2024,Paul Copan vs Stephen Woodford: Is Belief in God Reasonable?,True,one published theistic/religious side and one published non-theistic/skeptical side,pro,Reasonable theism,Paul Copan,con,Naturalistic skepticism,Stephen Woodford,78,81,3
113,dirckx-woodford-god-suffering-2024,Sharon Dirckx vs Stephen Woodford: Why Doesn't God Stop Suffering?,True,one published theistic/religious side and one published non-theistic/skeptical side,pro,Christian suffering framework,Sharon Dirckx,con,Atheist problem of evil,Stephen Woodford,79,80,1
114,dirckx-goff-consciousness-points-god-2019,Sharon Dirckx vs Philip Goff: Does Consciousness Point to God?,True,one published theistic/religious side and one published non-theistic/skeptical side,pro,Theistic consciousness,Sharon Dirckx,con,Non-theistic panpsychism,Philip Goff,79,81,2
116,bertuzzi-schieber-evil-evidence-2019,Cameron Bertuzzi vs Justin Schieber: The Problem of Evil,True,one published theistic/religious side and one published non-theistic/skeptical side,pro,Theistic no-evidence defense,Cameron Bertuzzi,con,Draperian evil evidence,Justin Schieber,78,87,9
117,bertuzzi-oconnor-contingency-argument-2018,Alex O'Connor vs Cameron Bertuzzi: Something From Nothing?,True,one published theistic/religious side and one published non-theistic/skeptical side,pro,Theistic contingency,Cameron Bertuzzi,con,Atheist burden critique,Alex O'Connor,81,87,6
118,hernandez-schieber-god-existence-2023,Eric Hernandez vs Justin Schieber: Does God Exist?,True,one published theistic/religious side and one published non-theistic/skeptical side,pro,Christian theism,Eric Hernandez,con,Atheistic naturalism,Justin Schieber,74,85,11
119,jones-oconnor-hell-2023,Michael Jones vs Alex O'Connor: Does God Send People to Hell?,True,one published theistic/religious side and one published non-theistic/skeptical side,pro,Christian hell defense,Michael Jones,con,Skeptical moral critique,Alex O'Connor,80,87,7
120,mclatchie-oconnor-christianity-true-2019,Jonathan McLatchie vs Alex O'Connor: Is Christianity True?,True,one published theistic/religious side and one published non-theistic/skeptical side,pro,Christian evidentialism,Jonathan McLatchie,con,Skeptical critique,Alex O'Connor,83,83,0
121,dawkins-lennox-science-buried-god-2017,Richard Dawkins vs John Lennox: Has Science Buried God?,True,one published theistic/religious side and one published non-theistic/skeptical side,pro,Christian science compatibility,John Lennox,con,Scientific naturalism,Richard Dawkins,76,82,6
122,horn-oconnor-god-existence-2020,Trent Horn vs Alex O'Connor: Does God Exist?,True,one published theistic/religious side and one published non-theistic/skeptical side,pro,Classical theism,Trent Horn,con,Agnostic skepticism,Alex O'Connor,77,83,6
123,oconnor-pine-divine-hiddenness-2024,Gregory Pine vs Alex O'Connor: The Divine Hiddenness Problem,True,one published theistic/religious side and one published non-theistic/skeptical side,pro,Catholic theism,Gregory Pine,con,Hiddenness skepticism,Alex O'Connor,74,87,13
124,harris-peterson-god-atheism-bible-2018,"Sam Harris vs Jordan Peterson: God, Atheism, The Bible, Jesus",True,one published theistic/religious side and one published non-theistic/skeptical side,pro,Religious pragmatism,Jordan Peterson,con,Secular moral realism,Sam Harris,78,84,6
126,craig-clifton-kalam-cosmological-argument-2021,William Lane Craig vs Scott Clifton: The Kalam Cosmological Argument,True,one published theistic/religious side and one published non-theistic/skeptical side,pro,Kalam defense,William Lane Craig,con,Causal-scope critique,Scott Clifton,82,88,6
127,slick-clifton-objective-morality-god-2014,Matt Slick vs Scott Clifton: Does Objective Morality Require God?,True,one published theistic/religious side and one published non-theistic/skeptical side,pro,Christian moral foundation,Matt Slick,con,Secular moral inquiry,Scott Clifton,70,89,19
