number,debate_id,title,cohort,pro_speaker,con_speaker,pro_score,con_score,higher_side,lower_side,margin,tie,pro_moves,con_moves,pro_fallacy_tagged_moves,con_fallacy_tagged_moves,pro_fallacy_instances,con_fallacy_instances,pro_bias_instances,con_bias_instances,lower_fallacy_tagged_moves,higher_fallacy_tagged_moves,lower_fallacy_instances,higher_fallacy_instances,lower_bias_instances,higher_bias_instances
13,knechtle-oconnor-christian-morality-2025,"Cliffe Knechtle vs Alex O'Connor: Christianity, Scripture, and Morality",closed,Cliffe Knechtle,Alex O'Connor,76,87,con,pro,11,False,5,7,0,0,0,0,0,0,0,0,0,0,0,0
14,jones-carrier-god-existence-2025,Michael Jones vs Richard Carrier: Does God Exist?,closed,Michael Jones,Richard Carrier,74,73,pro,con,1,False,9,9,0,1,0,1,0,1,1,0,1,0,1,0
15,hitchens-lennox-is-god-great-2017,Christopher Hitchens vs John Lennox: Is God Great?,closed,John Lennox,Christopher Hitchens,77,81,con,pro,4,False,11,12,0,0,0,0,0,0,0,0,0,0,0,0
16,hirsi-ali-dawkins-god-debate-2024,Ayaan Hirsi Ali vs Richard Dawkins: The God Debate,closed,Ayaan Hirsi Ali,Richard Dawkins,74,84,con,pro,10,False,9,8,0,0,0,0,0,0,0,0,0,0,0,0
17,collins-oconnor-god-existence-2024,Francis Collins vs Alex O'Connor: Does God Exist?,closed,Francis Collins,Alex O'Connor,79,88,con,pro,9,False,10,10,1,0,1,0,1,0,1,0,1,0,1,0
18,williams-goff-oldfield-oconnor-between-god-atheism-2024,"Rowan Williams, Philip Goff, Elizabeth Oldfield, and Alex O'Connor: Between God and Atheism",no_ledger,"Rowan Williams, Philip Goff, and Elizabeth Oldfield","Alex O'Connor, with Jack Symes moderating",80,82,con,pro,2,False,6,6,2,1,2,1,1,0,2,1,2,1,1,0
19,harris-oconnor-objective-morality-2024,Sam Harris vs Alex O'Connor: Objective Morality and Emotivism,closed,Sam Harris,Alex O'Connor,77,88,con,pro,11,False,5,6,0,0,0,0,0,0,0,0,0,0,0,0
20,hitchens-hitchens-iraq-god-2008,"Christopher Hitchens vs Peter Hitchens: Iraq, God, and Moral Authority",closed,Christopher Hitchens,Peter Hitchens,79,77,pro,con,2,False,12,9,1,2,1,2,0,1,2,1,2,1,1,0
21,hitchens-wolpe-great-god-debate-2010,Christopher Hitchens vs Rabbi David Wolpe: The Great God Debate,closed,Christopher Hitchens,Rabbi David Wolpe,85,76,pro,con,9,False,9,10,0,0,0,0,0,0,0,0,0,0,0,0
22,turek-hitchens-god-existence-2008,Frank Turek vs Christopher Hitchens: Does God Exist?,closed,Frank Turek,Christopher Hitchens,74,81,con,pro,7,False,9,10,0,0,0,0,0,0,0,0,0,0,0,0
23,oconnor-biddle-objective-morality-2024,Alex O'Connor vs Craig Biddle: Is Morality Objective?,closed,Craig Biddle,Alex O'Connor,82,89,con,pro,7,False,10,10,0,0,0,0,0,0,0,0,0,0,0,0
24,hitchens-olasky-religion-grace-2007,"Christopher Hitchens vs Marvin Olasky: Religion, Grace, and Secular Morality",closed,Christopher Hitchens,Marvin Olasky,80,82,con,pro,2,False,10,10,0,0,0,0,0,0,0,0,0,0,0,0
25,hitchens-ramadan-islam-peace-2010,Christopher Hitchens vs Tariq Ramadan: Is Islam a Religion of Peace?,closed,Christopher Hitchens,Tariq Ramadan,80,82,con,pro,2,False,10,10,1,0,1,0,0,0,1,0,1,0,0,0
26,turek-hitchens-reality-theism-atheism-2011,Frank Turek vs Christopher Hitchens: What Best Explains Reality?,closed,Frank Turek,Christopher Hitchens,74,83,con,pro,9,False,9,10,1,1,1,1,0,0,1,1,1,1,0,0
27,oconnor-turek-evil-moral-argument-2017,Alex O'Connor vs Frank Turek: The Moral Argument Debate,closed,Frank Turek,Alex O'Connor,76,87,con,pro,11,False,10,9,4,3,4,3,2,1,4,3,4,3,2,1
28,turek-shermer-reality-theism-atheism-2018,Frank Turek vs Michael Shermer: What Best Explains Reality?,closed,Frank Turek,Michael Shermer,72,83,con,pro,11,False,12,12,2,0,2,0,0,0,2,0,2,0,0,0
29,turek-silverman-reality-theism-atheism-2013,Frank Turek vs David Silverman: Which Better Explains Reality?,closed,Frank Turek,David Silverman,77,78,con,pro,1,False,10,9,1,0,1,0,0,0,1,0,1,0,0,0
30,lowder-turek-naturalism-theism-2016,Jeffery Jay Lowder vs Frank Turek: Naturalism or Theism?,closed,Jeffery Jay Lowder,Frank Turek,85,70,pro,con,15,False,12,11,0,2,0,2,0,0,2,0,2,0,0,0
31,oconnor-craig-resurrection-2023,Alex O'Connor vs William Lane Craig: Did Jesus Rise From the Dead?,closed,William Lane Craig,Alex O'Connor,86,88,con,pro,2,False,8,6,0,0,0,0,0,0,0,0,0,0,0,0
32,knechtle-oconnor-halper-biblical-god-2024,Cliffe and Stuart Knechtle vs Alex O'Connor and Phil Halper: Does the Biblical God Exist?,no_ledger,Cliffe and Stuart Knechtle,Alex O'Connor and Phil Halper,76,86,con,pro,10,False,6,6,4,0,4,0,1,0,4,0,4,0,1,0
33,craig-carroll-god-cosmology-2014,William Lane Craig vs Sean Carroll: God and Cosmology,closed,William Lane Craig,Sean Carroll,83,90,con,pro,7,False,10,10,0,0,0,0,0,0,0,0,0,0,0,0
34,goff-carroll-consciousness-fundamental-2023,Philip Goff vs Sean Carroll: Is Consciousness Fundamental?,closed,Philip Goff,Sean Carroll,84,84,tie,tie,0,True,10,9,0,0,0,0,0,0,,,,,,
35,carroll-shermer-hutchinson-dsouza-science-religion-2012,Sean Carroll and Michael Shermer vs Ian Hutchinson and Dinesh D'Souza: Has Science Refuted Religion?,no_ledger,Sean Carroll and Michael Shermer,Ian Hutchinson and Dinesh D'Souza,81,84,con,pro,3,False,6,6,1,1,1,1,1,0,1,1,1,1,1,0
36,carroll-halvorson-metaphysics-worldview-2016,Sean Carroll vs Hans Halvorson: Metaphysics,closed,Sean Carroll,Hans Halvorson,84,87,con,pro,3,False,9,10,0,0,0,0,0,0,0,0,0,0,0,0
37,ehrman-bass-resurrection-history-2023,Bart Ehrman vs Justin Bass: Did Jesus of Nazareth Rise From the Dead?,closed,Justin Bass,Bart Ehrman,78,88,con,pro,10,False,9,9,0,0,0,0,0,0,0,0,0,0,0,0
38,mcdowell-ehrman-moral-objectivity-2026,"Sean McDowell vs Bart Ehrman: The Moral Argument, Guilt, and the Teachings of Jesus",closed,Sean McDowell,Bart Ehrman,86,82,pro,con,4,False,10,9,0,0,0,0,0,0,0,0,0,0,0,0
39,lambert-jones-christian-faith-skepticism-2021,Derek Lambert vs Michael Jones: Atheist and Christian Discussion,closed,Michael Jones,Derek Lambert,79,81,con,pro,2,False,12,11,0,0,0,0,0,0,0,0,0,0,0,0
40,enoch-bush-objective-moral-truths-2026,David Enoch vs Lance Bush: Are There Objective Moral Truths?,closed,David Enoch,Lance Bush,85,84,pro,con,1,False,10,10,0,0,0,0,0,0,0,0,0,0,0,0
41,huemer-bush-objective-moral-facts-2024,Michael Huemer vs Lance Bush: Do Objective Moral Facts Exist?,closed,Michael Huemer,Lance Bush,85,83,pro,con,2,False,10,10,0,0,0,0,0,0,0,0,0,0,0,0
42,schmid-tomaszewski-divine-simplicity-2020,Joe Schmid vs Chris Tomaszewski: Is Divine Simplicity True?,closed,Chris Tomaszewski,Joe Schmid,86,87,con,pro,1,False,8,7,0,0,0,0,0,0,0,0,0,0,0,0
43,meyer-halper-cosmology-fine-tuning-2026,Stephen Meyer vs Phil Halper: The Big Bang and Fine-Tuning,closed,Stephen Meyer,Phil Halper,79,90,con,pro,11,False,9,10,0,0,0,0,0,0,0,0,0,0,0,0
44,oconnor-biddle-free-will-2025,Alex O'Connor vs Craig Biddle: Free Will - Do You Have It?,closed,Craig Biddle,Alex O'Connor,77,82,con,pro,5,False,10,9,0,0,0,0,0,0,0,0,0,0,0,0
45,singer-frazier-swinburne-oconnor-morality-2025,"Peter Singer, Jessica Frazier, Richard Swinburne, and Alex O'Connor: The Mystery of Morality",no_ledger,"Peter Singer, Jessica Frazier, Richard Swinburne",Alex O'Connor,82,80,pro,con,2,False,7,7,1,1,2,1,0,0,1,1,1,2,0,0
46,shapiro-oconnor-atheist-delusion-society-2023,"Ben Shapiro vs Alex O'Connor: The Atheist Delusion, Free Will, and Society",closed,Ben Shapiro,Alex O'Connor,71,87,con,pro,16,False,9,9,0,0,0,0,0,0,0,0,0,0,0,0
47,jones-krauss-christianity-secular-ethics-2025,Michael Jones vs Lawrence Krauss: Christianity or Secular Ethics - What's Best for Society?,closed,Michael Jones,Lawrence Krauss,79,76,pro,con,3,False,10,10,0,0,0,0,0,0,0,0,0,0,0,0
48,scrivener-folley-hiddenness-evil-moral-narrative-2025,"Glen Scrivener vs Joe Folley: Morality, Evil, Consciousness, and Christian Narrative",closed,Glen Scrivener,Joe Folley,74,84,con,pro,10,False,7,8,0,0,0,0,0,0,0,0,0,0,0,0
49,dyer-dillahunty-transcendental-theism-2019,Jay Dyer vs Matt Dillahunty: Transcendental Argument for Theism,closed,Jay Dyer,Matt Dillahunty,76,89,con,pro,13,False,12,12,0,0,0,0,0,0,0,0,0,0,0,0
50,knechtle-dillahunty-christianity-true-2023,Cliffe Knechtle vs Matt Dillahunty: Is Christianity True?,closed,Cliffe Knechtle,Matt Dillahunty,73,90,con,pro,17,False,10,9,2,0,2,0,0,0,2,0,2,0,0,0
51,lennox-atkins-duelling-professors-2012,John Lennox vs Peter Atkins: Duelling Professors on Science and God,closed,John Lennox,Peter Atkins,79,72,pro,con,7,False,10,10,0,1,0,1,0,0,1,0,1,0,0,0
52,horn-dillahunty-resurrection-reasonable-2021,Trent Horn vs Matt Dillahunty: Is Belief in the Resurrection Reasonable?,closed,Trent Horn,Matt Dillahunty,82,83,con,pro,1,False,11,12,0,0,0,0,0,0,0,0,0,0,0,0
53,oconnor-dsouza-bible-true-2024,Alex O'Connor vs Dinesh D'Souza: Is the Bible True?,closed,Dinesh D'Souza,Alex O'Connor,76,91,con,pro,15,False,10,10,2,0,2,0,2,0,2,0,2,0,2,0
54,jones-law-christianity-humanism-future-2025,Michael Jones vs Stephen Law: Christianity vs Humanism,closed,Michael Jones,Stephen Law,72,81,con,pro,9,False,10,10,0,0,0,0,0,0,0,0,0,0,0,0
55,craig-malpass-kalam-nothing-2026,William Lane Craig vs Alex Malpass: Can Something Come From Nothing?,closed,William Lane Craig,Alex Malpass,75,91,con,pro,16,False,8,9,1,0,1,0,0,0,1,0,1,0,0,0
56,huemer-lutz-morality-real-2026,Mike Huemer vs Matt Lutz: Is Morality Real?,closed,Michael Huemer,Matt Lutz,88,81,pro,con,7,False,9,10,0,0,0,0,0,0,0,0,0,0,0,0
57,scrivener-dillahunty-atheism-morality-2020,Glen Scrivener vs Matt Dillahunty: Can Atheism Deliver a Better World?,closed,Glen Scrivener,Matt Dillahunty,77,86,con,pro,9,False,10,10,0,0,0,0,0,0,0,0,0,0,0,0
58,dillahunty-slick-secular-humanism-christianity-2016,Matt Dillahunty vs Matt Slick: Is Secular Humanism Superior to Christianity?,closed,Matt Dillahunty,Matt Slick,82,74,pro,con,8,False,10,9,0,0,0,0,0,0,0,0,0,0,0,0
59,bollore-halper-god-science-evidence-2026,Michel-Yves Bollore vs Phil Halper: Does Science Point to God?,closed,Michel-Yves Bollore,Phil Halper,69,88,con,pro,19,False,10,10,4,0,4,0,0,0,4,0,4,0,0,0
60,horn-oconnor-jesus-resurrection-2026,Trent Horn vs Alex O'Connor: Did Jesus Rise From the Dead?,closed,Trent Horn,Alex O'Connor,78,86,con,pro,8,False,10,10,0,0,0,0,0,0,0,0,0,0,0,0
61,scrivener-oconnor-morality-bible-slavery-2026,"Glen Scrivener vs Alex O'Connor: Morality, Freedom, Slavery, and the Bible",closed,Glen Scrivener,Alex O'Connor,81,89,con,pro,8,False,10,10,0,0,0,0,0,0,0,0,0,0,0,0
62,pageau-folley-logos-meaning-resurrection-2026,"Jonathan Pageau vs Joe Folley: Genesis, Jesus, Science, and Faith",closed,Jonathan Pageau,Joe Folley,76,88,con,pro,12,False,10,10,1,0,1,0,1,0,1,0,1,0,1,0
63,butt-shermer-god-bible-2023,Kyle Butt vs Michael Shermer: Does the God of the Bible Exist?,closed,Kyle Butt,Michael Shermer,71,86,con,pro,15,False,12,10,0,0,0,0,0,0,0,0,0,0,0,0
64,pine-watkins-god-existence-2020,Gregory Pine vs Ben Watkins: Does God Exist?,closed,Gregory Pine,Ben Watkins,79,86,con,pro,7,False,8,9,0,0,0,0,0,0,0,0,0,0,0,0
65,donahue-malpass-fine-tuning-god-2026,Miles K. Donahue vs Alex Malpass: Does Fine-Tuning Point to God?,closed,Miles K. Donahue,Alex Malpass,79,80,con,pro,1,False,7,9,0,0,0,0,0,0,0,0,0,0,0,0
66,donahue-fodor-case-against-christianity-2025,Miles K. Donahue vs James Fodor: The Case Against Christianity,closed,Miles K. Donahue,James Fodor,81,83,con,pro,2,False,8,10,0,0,0,0,0,0,0,0,0,0,0,0
67,jones-fodor-digital-physics-god-2021,Michael Jones vs James Fodor: The Digital Physics Argument for God,closed,Michael Jones,James Fodor,71,87,con,pro,16,False,10,10,0,0,0,0,0,0,0,0,0,0,0,0
68,jones-dillahunty-quantum-idealism-demonstrability-2026,Michael Jones vs Matt Dillahunty: Quantum Idealism and Demonstrability,closed,Michael Jones,Matt Dillahunty,69,86,con,pro,17,False,6,6,0,0,0,0,0,0,0,0,0,0,0,0
69,winger-dillahunty-resurrection-unreasonable-2019,Mike Winger vs Matt Dillahunty: Is Belief in the Resurrection Unreasonable?,closed,Mike Winger,Matt Dillahunty,80,86,con,pro,6,False,12,12,1,0,1,0,0,0,1,0,1,0,0,0
70,malpass-anderson-logic-god-2021,Alex Malpass vs James Anderson: Does Logic Prove God?,closed,James Anderson,Alex Malpass,86,82,pro,con,4,False,8,10,0,0,0,0,0,0,0,0,0,0,0,0
71,hitchens-kushner-gomes-god-religion-morality-2009,"Christopher Hitchens vs Harold Kushner and Peter Gomes: God, Religion, and Morality",no_ledger,Harold Kushner and Peter Gomes,Christopher Hitchens,81,86,con,pro,5,False,6,6,1,0,1,0,2,1,1,0,1,0,2,1
72,dyer-malpass-tag-argument-2019,Jay Dyer vs Alex Malpass: The TAG Argument,closed,Jay Dyer,Alex Malpass,74,91,con,pro,17,False,10,8,0,0,0,0,0,0,0,0,0,0,0,0
73,hawkins-folley-free-will-compatibilism-2026,Nathan Hawkins vs Joe Folley: Do We Really Have Free Will?,closed,Nathan Hawkins,Joe Folley,83,89,con,pro,6,False,10,9,0,0,0,0,0,0,0,0,0,0,0,0
74,rasmussen-malpass-suffering-causal-finitism-2021,"Josh Rasmussen vs Alex Malpass: Suffering, Theism, and Causal Finitism",closed,Josh Rasmussen,Alex Malpass,82,89,con,pro,7,False,10,10,0,0,0,0,0,0,0,0,0,0,0,0
75,rasmussen-clifton-contingency-argument-2019,Josh Rasmussen vs Scott Clifton: Is the Contingency Argument Persuasive?,closed,Josh Rasmussen,Scott Clifton,79,87,con,pro,8,False,10,9,0,1,0,1,0,0,0,1,0,1,0,0
76,craig-oppy-mathematics-theism-2020,William Lane Craig vs Graham Oppy: Does Math Point to God?,closed,William Lane Craig,Graham Oppy,81,84,con,pro,3,False,11,9,0,0,0,0,0,0,0,0,0,0,0,0
77,feser-oppy-arguments-for-god-2020,Ed Feser vs Graham Oppy: Are There Any Good Arguments for God?,closed,Ed Feser,Graham Oppy,86,81,pro,con,5,False,8,10,0,0,0,0,0,0,0,0,0,0,0,0
78,albrecht-oppy-resurrection-ancient-christianity-2023,William Albrecht vs Graham Oppy: Resurrection and Ancient Christianity,closed,William Albrecht,Graham Oppy,76,83,con,pro,7,False,8,9,0,0,0,0,0,0,0,0,0,0,0,0
79,swinburne-oppy-theism-probability-2022,Richard Swinburne vs Graham Oppy: Is Theism Probable?,closed,Richard Swinburne,Graham Oppy,80,85,con,pro,5,False,9,9,0,0,0,0,0,0,0,0,0,0,0,0
80,rasmussen-schmid-argument-from-limits-2023,Josh Rasmussen vs Joe Schmid: The Argument from Limits,closed,Josh Rasmussen,Joe Schmid,84,90,con,pro,6,False,10,9,0,0,0,0,0,0,0,0,0,0,0,0
81,rasmussen-oppy-ultimate-reality-naturalism-2020,"Josh Rasmussen vs Graham Oppy: Theism, Naturalism, and Ultimate Reality",closed,Josh Rasmussen,Graham Oppy,81,85,con,pro,4,False,10,10,0,0,0,0,0,0,0,0,0,0,0,0
82,bush-mcallister-moral-anti-realism-realism-2025,Lance Bush vs Derek McAllister: Moral Anti-Realism vs Realism,closed,Lance Bush,Derek McAllister,90,76,pro,con,14,False,10,8,0,0,0,0,0,0,0,0,0,0,0,0
83,loke-oppy-kalam-causal-principle-2020,Andrew Loke vs Graham Oppy: Is the Kalam Sound?,closed,Andrew Loke,Graham Oppy,74,86,con,pro,12,False,10,10,0,0,0,0,0,0,0,0,0,0,0,0
84,krauss-meyer-lamoureux-god-science-universe-2016,"Lawrence Krauss vs Stephen Meyer and Denis Lamoureux: God, Science, and the Universe",no_ledger,Lawrence Krauss,Stephen Meyer and Denis Lamoureux,86,83,pro,con,3,False,6,6,2,2,2,2,0,0,2,2,2,2,0,0
85,atkins-fox-god-science-future-humanity-2024,Peter Atkins vs Keith Fox: God vs Science Debate,closed,Peter Atkins,Keith Fox,70,85,con,pro,15,False,8,10,0,0,0,0,0,0,0,0,0,0,0,0
86,egnor-dillahunty-god-existence-2021,Michael Egnor vs Matt Dillahunty: Does God Exist?,closed,Michael Egnor,Matt Dillahunty,71,83,con,pro,12,False,10,10,0,0,0,0,0,0,0,0,0,0,0,0
87,christopoulos-dillahunty-resurrection-historical-event-2024,Than Christopoulos vs Matt Dillahunty: Is the Resurrection a Historical Event?,closed,Than Christopoulos,Matt Dillahunty,79,88,con,pro,9,False,9,10,0,0,0,0,2,0,0,0,0,0,2,0
88,sechler-dillahunty-perfect-mind-universe-2022,Zac Sechler vs Matt Dillahunty: Did a Perfect Mind Create the Universe?,closed,Zac Sechler,Matt Dillahunty,79,83,con,pro,4,False,10,10,0,0,0,0,0,0,0,0,0,0,0,0
89,bignon-oppy-religious-experience-god-2022,Guillaume Bignon vs Graham Oppy: Religious Experience and the Case for God,closed,Guillaume Bignon,Graham Oppy,82,87,con,pro,5,False,9,8,1,0,1,0,0,0,1,0,1,0,0,0
90,akin-ehrman-gospels-historically-reliable-2022,Jimmy Akin vs Bart Ehrman: Are the Gospels Historically Reliable?,closed,Jimmy Akin,Bart Ehrman,81,88,con,pro,7,False,9,10,0,0,0,0,0,0,0,0,0,0,0,0
91,cutter-oppy-mind-brain-harmony-god-2025,Brian Cutter vs Graham Oppy: Does Mind-Brain Harmony Point to God?,closed,Brian Cutter,Graham Oppy,85,85,tie,tie,0,True,10,8,0,0,0,0,0,0,,,,,,
92,craig-malpass-universe-begin-exist-2020,William Lane Craig vs Alex Malpass: Did the Universe Begin to Exist?,closed,William Lane Craig,Alex Malpass,79,90,con,pro,11,False,10,10,2,0,2,0,0,0,2,0,2,0,0,0
93,hunter-dillahunty-christian-god-exist-2019,Braxton Hunter vs Matt Dillahunty: Does the Christian God Exist?,closed,Braxton Hunter,Matt Dillahunty,77,86,con,pro,9,False,10,10,0,0,0,0,0,0,0,0,0,0,0,0
94,swinburne-huemer-theism-coherent-2026,Richard Swinburne vs Michael Huemer: Is Theism Coherent?,closed,Richard Swinburne,Michael Huemer,75,83,con,pro,8,False,10,7,0,0,0,0,0,0,0,0,0,0,0,0
95,craig-frazier-goff-folley-god-reality-2026,"William Lane Craig, Jessica Frazier, Philip Goff, and Joe Folley: Did God Create Reality?",no_ledger,William Lane Craig,"Jessica Frazier, Philip Goff, and Joe Folley",80,82,con,pro,2,False,6,6,0,2,0,2,1,2,0,2,0,2,1,2
96,knechtle-aronra-tjump-christianity-true-2023,Cliffe and Stuart Knechtle vs Aron Ra and TJump: Is Christianity True?,no_ledger,Cliffe and Stuart Knechtle,Aron Ra and Tom Jump,66,76,con,pro,10,False,7,7,3,1,3,1,3,1,3,1,3,1,3,1
97,holland-grayling-christianity-human-values-2019,Tom Holland vs A. C. Grayling: Did Christianity Give Us Our Human Values?,closed,Tom Holland,A. C. Grayling,78,84,con,pro,6,False,9,9,0,0,0,0,0,0,0,0,0,0,0,0
98,craig-grayling-evil-god-reasonable-2011,William Lane Craig vs A. C. Grayling: Is Belief in God Reasonable in Light of Evil?,closed,William Lane Craig,A. C. Grayling,84,86,con,pro,2,False,9,10,0,0,0,0,0,0,0,0,0,0,0,0
99,jones-jump-digital-physics-god-2019,Michael Jones vs Tom Jump: Does God Exist?,closed,Michael Jones,Tom Jump,76,80,con,pro,4,False,10,10,0,0,0,0,0,0,0,0,0,0,0,0
100,jones-dillahunty-emergent-mind-god-2020,Michael Jones vs Matt Dillahunty: Reason to Believe in God?,closed,Michael Jones,Matt Dillahunty,73,91,con,pro,18,False,10,9,1,0,1,0,0,0,1,0,1,0,0,0
101,woodford-scrivener-religion-poisons-everything-2026,Stephen Woodford vs Glen Scrivener: Does Religion Poison Everything?,closed,Stephen Woodford,Glen Scrivener,83,80,pro,con,3,False,10,11,1,0,1,0,0,0,0,1,0,1,0,0
102,woodford-brierley-christianity-rational-2019,Stephen Woodford vs Justin Brierley: Is Christianity Rational?,closed,Stephen Woodford,Justin Brierley,82,77,pro,con,5,False,9,10,0,0,0,0,0,0,0,0,0,0,0,0
103,woodford-edwards-rational-belief-god-2023,Stephen Woodford vs Simon Edwards: Is It Rational to Believe in God?,closed,Stephen Woodford,Simon Edwards,82,78,pro,con,4,False,9,8,0,0,0,0,0,0,0,0,0,0,0,0
104,oconnor-baker-hytch-argument-from-reason-2020,Alex O'Connor vs Max Baker-Hytch: The Argument for God From Reason,closed,Max Baker-Hytch,Alex O'Connor,84,82,pro,con,2,False,9,9,0,0,0,0,0,0,0,0,0,0,0,0
105,craig-williams-hossenfelder-zizek-god-reality-2026,William Lane Craig and Rowan Williams vs Sabine Hossenfelder and Slavoj Žižek: Does God Exist?,no_ledger,William Lane Craig and Rowan Williams,Sabine Hossenfelder and Slavoj Žižek,82,81,pro,con,1,False,6,6,0,3,0,3,0,1,3,0,3,0,1,0
106,peterson-blackmore-god-meaning-life-2018,Jordan Peterson vs Susan Blackmore: Do We Need God to Make Sense of Life?,closed,Jordan Peterson,Susan Blackmore,74,85,con,pro,11,False,9,8,2,0,2,0,0,0,2,0,2,0,0,0
107,lennox-ruse-science-faith-evidence-god-2018,"John Lennox vs Michael Ruse: Science, Faith, and the Evidence for God",closed,John Lennox,Michael Ruse,79,85,con,pro,6,False,8,8,0,0,0,0,0,0,0,0,0,0,0,0
108,ward-ruse-mind-consciousness-god-2013,"Keith Ward vs Michael Ruse: Mind, Consciousness, and God",closed,Keith Ward,Michael Ruse,80,82,con,pro,2,False,8,8,0,0,0,0,0,0,0,0,0,0,0,0
109,mclatchie-oconnor-theism-naturalism-reality-2022,Jonathan McLatchie vs Alex O'Connor: Theism or Naturalism?,closed,Jonathan McLatchie,Alex O'Connor,74,83,con,pro,9,False,9,10,0,0,0,0,0,0,0,0,0,0,0,0
110,tour-garte-evolution-agency-christian-faith-2025,"James Tour vs Sy Garte: Evolution, Agency, and Christian Faith",closed,James Tour,Sy Garte,79,80,con,pro,1,False,7,9,1,0,1,0,0,0,1,0,1,0,0,0
111,tour-farina-origin-life-cluelessness-2023,Dave Farina vs James Tour: Are We Clueless About the Origin of Life?,closed,James Tour,Dave Farina,80,79,pro,con,1,False,12,10,0,0,0,0,0,0,0,0,0,0,0,0
112,copan-woodford-belief-god-reasonable-2024,Paul Copan vs Stephen Woodford: Is Belief in God Reasonable?,closed,Paul Copan,Stephen Woodford,78,81,con,pro,3,False,11,9,0,1,0,1,0,2,0,1,0,1,0,2
113,dirckx-woodford-god-suffering-2024,Sharon Dirckx vs Stephen Woodford: Why Doesn't God Stop Suffering?,closed,Sharon Dirckx,Stephen Woodford,79,80,con,pro,1,False,9,8,0,0,0,0,0,0,0,0,0,0,0,0
114,dirckx-goff-consciousness-points-god-2019,Sharon Dirckx vs Philip Goff: Does Consciousness Point to God?,closed,Sharon Dirckx,Philip Goff,79,81,con,pro,2,False,8,10,0,0,0,0,0,0,0,0,0,0,0,0
115,horn-bertuzzi-oconnor-schmid-problem-evil-2022,Trent Horn and Cameron Bertuzzi vs Alex O'Connor and Joe Schmid: Problem of Evil,no_ledger,Trent Horn and Cameron Bertuzzi,Alex O'Connor and Joe Schmid,78,84,con,pro,6,False,13,13,1,1,1,1,1,0,1,1,1,1,1,0
